id_umkm,nama_usaha,jenis_usaha,tenaga_kerja_perempuan,tenaga_kerja_laki_laki,aset,omset,marketplace,kapasitas_produksi,status_legalitas,tahun_berdiri,laba,biaya_karyawan,jumlah_pelanggan,,,rand_num,omset_outlier,omset_trim,,aset_baru,aset_baru_2
28828586,UD. Tasya Tunggul,Makanan & Minuman,93,,8094052,9852416,Website Sendiri,852,Belum Terdaftar,2024,29620364,387000000,852,,,0.604690178,9852416,9852416,,12617609,8094051.507
28828587,UD. Yudi Kamajaya,Makanan & Minuman,21,14,4244193,9952349,Website Sendiri,203,Belum Terdaftar,2018,7599645,105000000,203,,,0.654201064,9952349,9952349,,19807314,4244192.622
28828588,UD. Putri Wiraatmaja Rafif,Makanan & Minuman,44,58,13541438,9854767,Website Sendiri,904,Belum Terdaftar,2016,27949766,306000000,904,,,0.844019872,9854767,9854767,,6899382,13541437.7
28828589,UD. Olivia Kusumasari,Makanan & Minuman,61,62,5761603,8571607,Shopee,669,Belum Terdaftar,2020,26743044,369000000,669,,,0.660589897,8571607,8571607,,9171949,5761602.802
28828590,UD. Dea Tunggul Ziva,Makanan & Minuman,41,65,7656804,8275679,Website Sendiri,841,Belum Terdaftar,2014,42316256,318000000,841,,,0.901763021,8275679,8275679,,11921606,7656803.535
28828591,UD. Iqra Panji,Makanan & Minuman,66,41,5563179,8497878,Tokopedia,633,Belum Terdaftar,2002,30340026,321000000,633,,,0.129117178,8497878,8497878,,14133363,5563178.838
28828592,UD. Tono Surapati,Makanan & Minuman,8,30,8205676,9373593,Website Sendiri,285,Belum Terdaftar,2009,30303492,114000000,285,,,0.961290239,9373593,9373593,,1580048,8205675.565
28828593,UD. Qisha Kusumah,Makanan & Minuman,63,5,4925150,9832997,Shopee,104,Belum Terdaftar,2013,36411826,204000000,104,,,0.428257043,9832997,9832997,,8600667,4925150.317
28828594,UD. Tari Jayeng,Makanan & Minuman,14,18,10010652,8357279,Shopee,173,Belum Terdaftar,2016,14467426,96000000,173,,,0.595019319,8357279,8357279,,7334738,4680076.24
28828595,UD. Uli Widhi,Makanan & Minuman,29,37,5311335,9359668,Bukalapak,327,Belum Terdaftar,2016,1443409,198000000,327,,,0.745743383,9359668,9359668,,3921115,5311334.668
28828596,UD. Clarissa Cahaya,Makanan & Minuman,25,78,2326374,8163353,Tokopedia,545,Belum Terdaftar,2005,14100697,309000000,545,,,0.417188881,8163353,8163353,,7998964,2326374.305
28828597,UD. Nisa Hastinapura,Makanan & Minuman,93,32,6189169,9790419,Lazada,991,Belum Terdaftar,2012,19215487,375000000,991,,,0.56678738,9790419,9790419,,7310663,6189168.558
28828598,UD. Chiko Suryaatmaja,Makanan & Minuman,68,89,3559363,9050652,Tokopedia,914,Belum Terdaftar,2006,1438940,471000000,914,,,0.588290908,9050652,9050652,,15921520,3559362.907
28828599,UD. Damar Panji,Makanan & Minuman,94,52,6262127,8933377,Lazada,195,Belum Terdaftar,2008,-966481,438000000,195,,,0.400727505,8933377,8933377,,13395817,6262126.894
28828600,UD. Qayla Sukarela,Makanan & Minuman,21,29,5197965,9543682,Tokopedia,58,Belum Terdaftar,2015,30437016,150000000,58,,,0.71619955,9543682,9543682,,13004569,5197965.468
28828601,UD. Kinan Buana,Makanan & Minuman,53,74,12078434,8453220,Website Sendiri,218,Belum Terdaftar,2004,13830054,381000000,218,,,0.096001804,8453220,8453220,,5760544,2874094.8
28828602,UD. Niken Lintang,Makanan & Minuman,57,64,4484518,9247764,Lazada,235,Belum Terdaftar,2016,19447906,363000000,235,,,0.911598101,9247764,9247764,,2774502,4484518.362
28828603,UD. Lidya Pamungkas,Makanan & Minuman,78,13,6573355,8882912,Tokopedia,190,Belum Terdaftar,2000,16610775,273000000,190,,,0.518032993,8882912,8882912,,2690747,6573354.88
28828604,UD. Farid Agastya,Makanan & Minuman,52,9,10971809,8135584,Bukalapak,788,Belum Terdaftar,2008,2465437,183000000,788,,,0.942828906,8135584,8135584,,4318818,3742368.64
28828605,UD. Yumna Sentosa,Makanan & Minuman,98,16,5701492,8983171,Shopee,399,Belum Terdaftar,2024,3640941,342000000,399,,,0.847914762,8983171,8983171,,6577190,5701491.932
28828606,UD. Yusuf Suryaputra,Makanan & Minuman,18,74,7898606,9122540,Tokopedia,964,Belum Terdaftar,2017,13373861,276000000,964,,,0.467919192,9122540,9122540,,2836467,7898605.535
28828607,UD. Krisna Trisula,Makanan & Minuman,33,14,6753825,8982400,Tokopedia,956,Belum Terdaftar,2017,11729890,141000000,956,,,0.297686728,8982400,8982400,,4253068,6753824.844
28828608,UD. Heri Wiyata,Makanan & Minuman,81,75,4757272,9555581,Shopee,186,Belum Terdaftar,2012,5066991,468000000,186,,,0.063398032,9555581,9555581,,1520179,4757271.902
28828609,UD. Anang Baswara,Makanan & Minuman,13,2,4268208,8536416,Lazada,608,Belum Terdaftar,2008,42319881,45000000,608,,,0.512566627,8536416,8536416,,5518416,4268208
28828610,UD. Gilang Galang,Makanan & Minuman,21,21,5385861,9792474,Lazada,505,Belum Terdaftar,2020,36037162,126000000,505,,,0.079903232,9792474,9792474,,8893925,5385860.7
28828611,UD. Sekar Trijaya,Makanan & Minuman,87,55,4726567,8956429,Website Sendiri,122,Belum Terdaftar,2006,2048411,426000000,122,,,0.308162805,8956429,8956429,,3916286,4726566.572
28828612,UD. Diyan Prawira,Makanan & Minuman,12,58,5411935,8462689,Website Sendiri,768,Belum Terdaftar,2004,27972433,210000000,768,,,0.282624268,8462689,8462689,,5721490,5411935.334
28828613,UD. Fajar Darussalam Lukita,Makanan & Minuman,63,25,5935295,9091255,Website Sendiri,130,Belum Terdaftar,2023,10056449,264000000,130,,,0.458730696,9091255,9091255,,423,5935294.972
28828614,UD. Yumna Wira,Makanan & Minuman,55,49,6309171,8165706,Bukalapak,952,Belum Terdaftar,2007,5567269,312000000,952,,,0.827954443,8165706,8165706,,14721392,6309170.625
28828615,UD. Sani Segar,Makanan & Minuman,71,86,5246354,8197428,Shopee,822,Belum Terdaftar,2022,44281523,471000000,822,,,0.553370004,8197428,8197428,,3413431,5246353.92
28828616,UD. Nazar Baruna,Makanan & Minuman,41,79,4960922,9019858,Lazada,58,Belum Terdaftar,2000,11120279,360000000,58,,,0.213550525,9019858,9019858,,11981109,4960921.9
28828617,UD. Nazar Dwijaputra Dito,Makanan & Minuman,65,60,2898659,8646058,,177,Belum Terdaftar,2000,10063419,375000000,177,,,0.061049002,8646058,8646058,,6578825,2898658.833
28828618,UD. Lutfi Reswara,Makanan & Minuman,62,54,2635790,9909849,Website Sendiri,227,Belum Terdaftar,2023,18916365,348000000,227,,,0.012181695,9909849,9909849,,7919344,2635789.814
28828619,UD. Ujang Wibawa,Makanan & Minuman,41,63,4247147,8013485,Shopee,786,Belum Terdaftar,2022,2859830,312000000,786,,,0.711190867,8013485,8013485,,12291045,4247147.05
28828620,UD. Jafar Sanjaya,Makanan & Minuman,90,2,4513959,9293295,Website Sendiri,785,Belum Terdaftar,2020,10486347,276000000,785,,,0.35246633,9293295,9293295,,1793930,4513958.669
28828621,UD. Xenia Nirbayu,Makanan & Minuman,33,29,3187226,9161289,Tokopedia,442,Belum Terdaftar,2012,15890269,186000000,442,,,0.246805874,9161289,9161289,,5328746,3187226.4
28828622,UD. Jihan Gatra,Makanan & Minuman,28,57,5435022,9054627,Website Sendiri,189,Belum Terdaftar,2017,844616,255000000,189,,,0.522798175,9054627,9054627,,8284736,5435022.366
28828623,UD. Dewi Mandiri,Makanan & Minuman,25,12,5508681,9449907,Shopee,503,Belum Terdaftar,2009,39753473,111000000,503,,,0.494828719,9449907,9449907,,5860059,5508681.466
28828624,UD. Fikri Jaladara,Makanan & Minuman,22,71,4898374,8522115,Lazada,803,Belum Terdaftar,2008,22889862,279000000,803,,,0.417514959,8522115,8522115,,2800283,4898374.204
28828625,UD. Lukman Wangi,Makanan & Minuman,35,23,3541387,8081874,Shopee,765,Belum Terdaftar,2022,17052948,174000000,765,,,0.921339689,8081874,8081874,,9468992,3541387.466
28828626,UD. Jasmin Prajurit,Makanan & Minuman,8,68,4982281,9629580,Lazada,405,Belum Terdaftar,2005,37471339,228000000,405,,,0.815283912,9629580,9629580,,5062487,4982280.593
28828627,UD. Ony Mayang,Makanan & Minuman,84,6,2165549,8438597,Shopee,618,Belum Terdaftar,2020,28277547,270000000,618,,,0.971863954,8438597,8438597,,12962262,2165549.436
28828628,UD. Gema Prana,Makanan & Minuman,41,50,7423675,9795857,Shopee,502,Belum Terdaftar,2024,-7608569,273000000,502,,,0.893328974,9795857,9795857,,4827749,7423674.84
28828629,UD. Celsi Cahyaningrat,Makanan & Minuman,99,53,3774135,8941327,Lazada,329,Belum Terdaftar,2018,2339389,456000000,329,,,0.14720558,8941327,8941327,,16466705,3774134.575
,UD. Ucup Tirtayasa,Makanan & Minuman,66,50,4843207,9770806,Tokopedia,720,Belum Terdaftar,2023,30499396,348000000,720,,,0.78916542,9770806,9770806,,1481281,4843206.671
28828631,UD. Hilmiyah Tunggul,Makanan & Minuman,6,26,13968621,9620557,Shopee,384,Belum Terdaftar,2021,616396,96000000,384,,,0.03701057,9620557,9620557,,6440549,4329250.65
28828632,UD. Cipta Nawasena Qira,Makanan & Minuman,22,11,7662790,8912797,Shopee,857,Belum Terdaftar,2014,4430004,99000000,857,,,0.938647626,8912797,8912797,,6279335,7662790.067
28828633,UD. Ony Nawasena,Makanan & Minuman,31,40,13057740,9925604,Bukalapak,675,Belum Terdaftar,2008,19350377,213000000,675,,,0.823950042,9925604,9925604,,13418475,4863545.96
28828634,UD. Livia Wijaya,Makanan & Minuman,22,88,10528623,9411445,Website Sendiri,98,Belum Terdaftar,2013,21481690,330000000,98,,,0.683902079,9411445,9411445,,4514862,2917547.95
28828635,UD. Carissa Rejo,Makanan & Minuman,15,32,6512419,9456828,Bukalapak,385,Belum Terdaftar,2008,47340164,141000000,385,,,0.778363208,9456828,9456828,,11736585,6512419.491
28828636,UD. Qisya Berkarya Pandu,Makanan & Minuman,68,78,12662149,8447230,Shopee,556,Belum Terdaftar,2020,18710881,438000000,556,,,0.78847984,8447230,8447230,,16606482,4139142.7
28828637,UD. Ujang Kusumah Erlangga,Makanan & Minuman,12,30,7954930,8670160,Shopee,628,Belum Terdaftar,2022,9315093,126000000,628,,,0.737140527,8670160,8670160,,11489416,7954929.676
28828638,UD. Nina Sanjaya,Makanan & Minuman,9,10,4550991,8797166,Shopee,358,Belum Terdaftar,2021,9341456,57000000,358,,,0.571655984,8797166,8797166,,15022197,4550991.286
28828639,UD. Jihan Prima,Makanan & Minuman,58,35,5459389,8859744,Tokopedia,443,Belum Terdaftar,2009,27276813,279000000,443,,,0.100157354,8859744,8859744,,15328140,5459388.75
28828640,UD. Mira Kelana,Makanan & Minuman,1,5,4725239,8089512,Bukalapak,243,Belum Terdaftar,2007,22991531,18000000,243,,,0.738914342,8089512,8089512,,6062883,4725238.977
28828641,UD. Jaya Ayodya,Makanan & Minuman,79,44,2223142,8176435,Website Sendiri,869,Belum Terdaftar,2014,18160229,unknown,869,,,0.898014195,8176435,8176435,,15523190,2223141.763
28828642,UD. Niken Arya,Makanan & Minuman,51,59,7017813,9613443,Tokopedia,153,Belum Terdaftar,2023,15004732,330000000,153,,,0.6708759,9613443,9613443,,2864486,7017813.39
28828643,UD. Sekar Siang,Makanan & Minuman,0,89,7464640,8782614,Lazada,604,Belum Terdaftar,2011,9208418,267000000,604,,,0.991002907,8782614,8782614,,14814322,7464639.7
28828644,UD. Hanafi Bagaskara,Makanan & Minuman,69,71,5315191,9414561,Shopee,689,Belum Terdaftar,2008,19768611,420000000,689,,,0.360420125,9414561,9414561,,3519690,5315191.465
28828645,UD. Gema Wijaksana,Makanan & Minuman,53,36,3029653,8697139,Tokopedia,783,Belum Terdaftar,2010,22445156,267000000,783,,,0.837331228,8697139,8697139,,5425855,3029652.881
28828646,UD. Eddy Wira,Makanan & Minuman,18,29,2264722,8180960,Lazada,612,Belum Terdaftar,2016,29581544,141000000,612,,,0.457929795,8180960,8180960,,10417028,2264721.954
28828647,UD. Marsel Gandewa,Makanan & Minuman,96,37,5936160,9679518,Shopee,76,Belum Terdaftar,2013,39559611,399000000,76,,,0.84547589,9679518,9679518,,5330074,5936159.601
28828648,UD. Niken Ananta,Makanan & Minuman,27,15,8101591,9745282,Tokopedia,unknown,Belum Terdaftar,2005,42340076,126000000,666,,,0.561308227,9745282,9745282,,8010453,8101591.108
28828649,UD. Qyla Prana Balqis,Makanan & Minuman,4,78,10880564,8337772,Shopee,809,Belum Terdaftar,2019,45004857,246000000,809,,,0.325400212,8337772,8337772,,14191564,3501864.24
28828650,UD. Prananda Manggala,Makanan & Minuman,75,37,4672048,8342943,Bukalapak,417,Belum Terdaftar,2021,42206075,336000000,417,,,0.027127788,8342943,8342943,,1283428,4672048.08
28828651,UD. Qanita Mandiri,Makanan & Minuman,29,52,5707899,8889892,Shopee,684,Belum Terdaftar,2002,3394348,243000000,684,,,0.658375182,8889892,8889892,,2255602,5707899.417
28828652,UD. Tania Madani,Makanan & Minuman,80,7,6722519,9886057,Website Sendiri,105,Belum Terdaftar,2024,15866530,261000000,105,,,0.916517036,9886057,9886057,,11494497,6722518.76
28828653,UD. Wulan Sukma Fikri,Makanan & Minuman,18,98,2589036,8643499,Website Sendiri,574,Belum Terdaftar,2012,30988503,348000000,574,,,0.216317657,8643499,8643499,,7850727,2589035.785
28828654,UD. Chiko Tejakencana Pandu,Makanan & Minuman,41,8,2553117,9098843,Shopee,901,Belum Terdaftar,2015,34065515,147000000,901,,,0.972034132,9098843,9098843,,7764434,2553117.224
28828655,UD. Candra Kalbu,Makanan & Minuman,24,20,3187493,9098927,Tokopedia,920,Belum Terdaftar,2011,29418973,132000000,920,,,0.132959095,9098927,9098927,,10353288,3187493.293
28828656,UD. Delia Paseban,Makanan & Minuman,34,40,2620898,8190306,Lazada,942,Belum Terdaftar,2021,25961847,222000000,942,,,0.024118518,8190306,8190306,,6678490,2620897.92
28828657,UD. Taufan Jatiwangi,Makanan & Minuman,8,68,2983639,9314825,Lazada,418,Belum Terdaftar,2012,2851153,228000000,418,,,0.26049267,9314825,9314825,,1982547,2983639.177
28828658,UD. Kamil Nirmala,Makanan & Minuman,95,18,3073292,9913844,Website Sendiri,606,Belum Terdaftar,2021,2188941,339000000,606,,,0.392209016,9913844,9913844,,14994334,3073291.64
28828659,UD. Damar Wibawa,Makanan & Minuman,38,79,4083222,9625649,Website Sendiri,983,Belum Terdaftar,2018,9498461,351000000,983,,,0.64986327,9625649,9625649,,12802964,4083222.106
28828660,UD. Berlian Cempaka,Makanan & Minuman,55,17,2991198,9266156,Tokopedia,416,Belum Terdaftar,2020,3077285,216000000,416,,,0.621727903,9266156,9266156,,13873612,2991198.219
28828661,UD. Riko Wening,Makanan & Minuman,37,75,6011810,8497866,Bukalapak,64,Belum Terdaftar,2008,20055752,336000000,64,,,0.94245886,8497866,8497866,,9695804,6011809.557
28828662,UD. Fani Manik,Makanan & Minuman,14,79,6932716,8446714,Website Sendiri,16,Belum Terdaftar,2023,32524657,279000000,16,,,0.20113002,8446714,8446714,,1932186,6932716.203
28828663,UD. Xenia Paningrat Najwa,Makanan & Minuman,45,4,8695094,8596465,Website Sendiri,270,Belum Terdaftar,2009,19534926,147000000,270,,,0.184689717,8596465,8596465,,2654110,3696479.95
28828664,UD. Wira Gatra,Makanan & Minuman,36,66,5510746,9207275,Shopee,983,Belum Terdaftar,2018,20190908,306000000,983,,,0.619319796,9207275,9207275,,10973999,5510745.884
28828665,UD. Jay Wiyata,Makanan & Minuman,89,70,6409798,8546397,Bukalapak,860,Belum Terdaftar,2016,-1701818,477000000,860,,,0.546663975,8546397,8546397,,1917879,6409797.75
28828666,UD. Lono Senopati,Makanan & Minuman,59,31,4953672,9205341,Bukalapak,628,Belum Terdaftar,2021,13740666,270000000,628,,,0.53673007,9205341,9205341,,14308567,4953671.869
28828667,UD. Via Wijapranata Yusuf,Makanan & Minuman,61,94,4316969,8464645,Website Sendiri,720,Belum Terdaftar,2006,37995155,465000000,720,,,0.308210271,8464645,8464645,,6632016,4316968.95
28828668,UD. Krisna Segar,Makanan & Minuman,30,77,3026701,9909421,Shopee,977,Belum Terdaftar,2024,-6337691,321000000,977,,,0.715407497,9909421,9909421,,7304270,3026700.724
,UD. Pasha Atma,Makanan & Minuman,29,87,4688659,8014192,Tokopedia,589,Belum Terdaftar,2023,8775945,348000000,589,,,0.944213341,8014192,8014192,,13238579,4688658.692
28828670,UD. Vidi Warna,Makanan & Minuman,65,47,3860077,9077897,Lazada,15,Belum Terdaftar,2016,-387145,,15,,,0.204997845,9077897,9077897,,10831487,3860077.436
28828671,UD. Gusti Sanjaya,Makanan & Minuman,6,32,10992818,9768923,Website Sendiri,901,Belum Terdaftar,2013,19366444,114000000,901,,,0.067871942,9768923,9768923,,6701407,10992818.45
28828672,UD. Pandu Adhi,Makanan & Minuman,29,68,6027997,9658836,Lazada,878,Belum Terdaftar,2003,25122363,291000000,878,,,0.972530543,9658836,9658836,,12156421,6027997.352
28828673,UD. Zulkarnaen Agastya,Makanan & Minuman,32,71,8871142,9223494,Lazada,915,Belum Terdaftar,2015,32973220,309000000,915,,,0.7053354,9223494,9223494,,5452251,8871141.996
28828674,UD. Qanitah Nusa,Makanan & Minuman,37,1,8515639,9645543,Lazada,827,Belum Terdaftar,2019,30357587,114000000,827,,,0.112929531,9645543,9645543,,9357907,8515639.277
28828675,UD. Wira Kamajaya,Makanan & Minuman,83,53,8733005,9336706,Website Sendiri,517,Belum Terdaftar,2000,23568479,408000000,517,,,0.169403781,9336706,9336706,,6930227,8733005.415
28828676,UD. Anisa Galuh,Makanan & Minuman,18,41,6171224,9168424,Tokopedia,890,Belum Terdaftar,2005,35976338,177000000,890,,,0.687544441,9168424,9168424,,15292741,6171223.713
28828677,UD. Iqra Abadi,Makanan & Minuman,8,34,7880704,9944467,Bukalapak,261,Belum Terdaftar,2016,-2149028,126000000,261,,,0.570747193,9944467,9944467,,7522974,7880703.67
28828678,UD. Ucup Jatiwangi,Makanan & Minuman,85,60,5444706,8579140,Shopee,407,Belum Terdaftar,2017,43864242,435000000,407,,,0.309648042,8579140,8579140,,9648543,5444706.475
28828679,UD. Desi Tirta,Makanan & Minuman,31,59,8951168,8460214,Bukalapak,534,Belum Terdaftar,2017,12245570,270000000,534,,,0.256657929,8460214,8460214,,2279647,8951168.315
28828680,UD. Lukita Panji,Makanan & Minuman,29,97,5035744,8098297,Shopee,633,Belum Terdaftar,2020,31172085,378000000,633,,,0.254314128,8098297,8098297,,7004331,5035743.709
28828681,UD. Okta Tejakencana,Makanan & Minuman,5,93,5345591,8408877,Bukalapak,883,Belum Terdaftar,2024,21437147,294000000,883,,,0.483441533,8408877,8408877,,2537006,5345590.667
28828682,UD. Farhan Sukarela Qomar,Makanan & Minuman,60,48,3799893,8492996,Website Sendiri,265,Belum Terdaftar,2011,17263737,324000000,265,,,0.832836249,8492996,8492996,,8793251,3799892.729
28828683,UD. Qamar Bahagia,Fashion,80,22,5717637,9859828,Website Sendiri,895,Belum Terdaftar,2004,40706670,306000000,895,,,0.38043271,9859828,9859828,,12476011,5717637.417
28828684,UD. Ina Sumirat,Perusahaan,36,67,2202573,8783534,Lazada,80,Belum Terdaftar,2016,5539681,309000000,80,,,0.199461478,8783534,8783534,,17498952,2202572.695
28828685,UD. Lidya Cinta,Fashion,78,34,15749727,9144559,Shopee,414,Belum Terdaftar,2019,28765964,336000000,414,,,0.984681468,9144559,9144559,,7863808,4297942.73
28828686,UD. Balqis Sehat,Fashion,70,13,15221544,19784794,Tokopedia,,Belum Terdaftar,2004,22525142,249000000,746,,,0.453295993,19784794,19784794,,10638343,15221543.88
28828687,UD. Alya Sukarela,Fashion,77,21,11636899,18680346,Website Sendiri,404,Belum Terdaftar,2009,-670351,294000000,404,,,0.360809395,18680346,18680346,,12649615,11636899.02
28828688,UD. Adinda Putra,Perusahaan,19,29,8541691,19487517,Shopee,15,Belum Terdaftar,2003,-5271923,144000000,15,,,0.994228367,19487517,19487517,,12780139,8541691.126
28828689,UD. Salwa Malam,Perusahaan,29,2,12827602,19172206,Website Sendiri,429,Belum Terdaftar,2010,4828573,93000000,429,,,0.236189435,19172206,19172206,,12223420,12827602.36
28828690,UD. Vega Putra,Makanan & Minuman,17,74,15197156,18635056,Tokopedia,596,Belum Terdaftar,2018,28956304,273000000,596,,,0.894590512,18635056,18635056,,3769584,15197156.32
28828691,UD. Cipta Citra,Fashion,62,9,7742809,19579738,Shopee,576,Belum Terdaftar,2008,38584452,213000000,576,,,0.595521852,19579738,19579738,,8021456,7742809.33
28828692,UD. Farid Darma,Perusahaan,60,66,10108914,19228557,Lazada,43,Belum Terdaftar,2000,26365393,378000000,43,,,0.500775995,19228557,19228557,,18151559,10108914.07
28828693,UD. Qais Sari,Makanan & Minuman,56,40,13379502,18740929,Shopee,487,Belum Terdaftar,2021,35862019,288000000,487,,,0.360413419,18740929,18740929,,14343388,13379502.07
28828694,UD. Pandu Mulya,Perusahaan,21,47,8427685,18547759,Tokopedia,722,Belum Terdaftar,2021,31465579,204000000,722,,,0.375539714,18547759,18547759,,14177772,8427684.981
28828695,UD. Vita Kalbu,Perusahaan,88,49,3941798,9024602,Lazada,848,Belum Terdaftar,2021,37077180,411000000,848,,,0.526836326,9024602,9024602,,19372926,3941798.185
28828696,UD. Utha Mulya Tami,Perusahaan,87,68,12195815,8154823,Website Sendiri,951,Belum Terdaftar,2012,32076571,465000000,951,,,0.214955786,8154823,8154823,,9868023,5789924.33
28828697,UD. Fitri Manunggal,Fashion,94,57,4102622,8301974,Lazada,814,Belum Terdaftar,2014,-1381265,453000000,814,,,0.265406583,8301974,8301974,,7683649,4102622.152
28828698,UD. Rosa Nirbayu,Makanan & Minuman,48,14,4264723,8545101,Website Sendiri,965,Belum Terdaftar,2004,4190008,186000000,965,,,0.057674917,8545101,8545101,,8868358,4264723.027
28828699,UD. Jodi Kinarya,Fashion,17,47,3606066,9763825,Tokopedia,923,Belum Terdaftar,2015,13821009,192000000,923,,,0.197277638,9763825,9763825,,11996909,3606066.472
28828700,UD. Marsel Indah,Makanan & Minuman,97,5,4595548,9479241,Bukalapak,570,Belum Terdaftar,2018,12311354,306000000,570,,,0.683735414,9479241,9479241,,14560428,4595548.121
28828701,UD. Marsel Anggara,Makanan & Minuman,60,3,8238337,8752887,Bukalapak,102,Belum Terdaftar,2008,29666229,189000000,102,,,0.293936232,8752887,8752887,,13804306,8238336.764
,UD. Fikri Saprahan,Perusahaan,81,22,4096367,9350282,Tokopedia,350,Belum Terdaftar,2021,41792436,309000000,350,,,0.434753967,9350282,9350282,,6983747,4096367.21
28828703,UD. Lono Pagi,Fashion,77,44,3307982,8599677,Website Sendiri,919,Belum Terdaftar,2018,17088413,363000000,919,,,0.762425593,8599677,8599677,,4413352,3307982.317
28828704,UD. Gracia Wening,Perusahaan,67,64,8333842,9939054,Lazada,793,Belum Terdaftar,2004,29246580,393000000,793,,,0.96064659,9939054,9939054,,6951277,8333841.668
28828705,UD. Zahira Sehat,Makanan & Minuman,6,55,4850091,9055611,Website Sendiri,163,Belum Terdaftar,2009,24051416,183000000,163,,,0.753561091,9055611,9055611,,7141492,4850090.878
28828706,UD. Fahmi Paseban,Fashion,6,97,2414866,8694590,Bukalapak,126,Belum Terdaftar,2000,543379,309000000,126,,,0.278483319,8694590,8694590,,10869926,2414866.237
28828707,UD. Lutfi Prajurit Lukita,Fashion,64,62,7197904,9203978,Lazada,232,Belum Terdaftar,2024,-3376163,378000000,232,,,0.194691204,9203978,9203978,,8041865,7197904.011
28828708,UD. Farhan Artha,Perusahaan,39,14,4312875,8471762,Shopee,316,Belum Terdaftar,2007,4223950,159000000,316,,,0.372370042,8471762,8471762,,10972105,4312874.653
