omset,tahun_berdiri
8434175,2013
14663122,2005
14317487,2005
13230998,2018
6674745,2019
8834504,2008
11222962,2001
13112526,2004
13961251,2007
6846910,2015
7847482,2024
8752332,2003
11237133,2014
7187081,2001
4542183,2010
11158328,2014
9603279,2012
14263182,2024
4016432,2022
7233580,2015
10833941,2022
6868509,2006
9281027,2013
9242087,2009
6970833,2002
4166234,2010
9641625,2006
13119731,2021
4971248,2009
3619685,2007
3980731,2013
12529661,2020
9354004,2006
3938367,2015
8556123,2018
6369726,2016
10158449,2013
7943709,2022
4946719,2018
6457985,2006
7919958,2013
12732813,2021
10480609,2011
3444159,2011
6205001,2024
13324263,2007
4086921,2008
5701216,2013
14489868,2017
13274821,2017
6043595,2017
7096119,2008
13635463,2010
7849352,2010
4553594,2006
4232352,2007
5529590,2009
10745259,2007
12374161,2006
7721479,2010
10595962,2007
7831551,2010
6003483,2006
13730848,2001
5180091,2007
14580979,2002
10737951,2007
9037722,2002
13581084,2019
9851899,2013
11429201,2018
7285017,2007
8948396,2009
3677239,2011
8541805,2013
6944869,2019
12493726,2008
6366698,2014
6223518,2016
6535366,2019
7833459,2003
8525074,2001
5405176,2006
5406869,2018
6082155,2021
14343015,2011
4177002,2013
11576596,2004
11876905,2024
10187626,2009
3523427,2019
6856689,2020
6445425,2011
10959530,2006
14591721,2023
6388547,2021
5854475,2007
8923594,2022
4038267,2017
10778951,2008
4290717,2011
12520937,2003
10325586,2009
4248923,2007
11192473,2003
4644776,2022
12196967,2024
3514638,2005
11310896,2011
10035261,2007
5093470,2014
11031980,2007
6429534,2012
3397648,2017
12862669,2022
16665719,2021
12762137,2014
3541120,2024
5011288,2017
11843888,2010
16319940,2017
10840261,2008
8983240,2021
10091512,2014
6231185,2018
6794113,2017
13390042,2016
7096093,2020
4299740,2007
9481424,2022
11803480,2018
10074461,2016
12267382,2019
5755192,2004
10394103,2005
14472988,2023
7278036,2009
4831130,2020
11841275,2007
12267463,2019
8674928,2018
13830301,2023
3667740,2006
6993131,2018
8840322,2009
8148053,2016
10375654,2007
6811009,2010
12504280,2019
4915040,2004
6989813,2006
13162617,2013
13427425,2007
11856534,2003
11290489,2003
13862159,2018
3861112,2020
8815476,2020
4752809,2014
6199895,2017
4634875,2020
4409541,2005
4938065,2016
4861237,2003
12097622,2024
5154069,2009
4470603,2009
8188769,2013
9630333,2005
11078875,2015
14248937,2013
5668464,2011
9346469,2007
8017614,2010
10993266,2023
9869180,2013
6597972,2021
7194177,2023
12304504,2007
13061543,2018
8692214,2015
8541557,2013
10339441,2004
6350974,2006
9077846,2008
6657902,2019
12993259,2023
5586996,2016
11446004,2003
10471391,2004
8700447,2002
6207109,2016
9671570,2005
10581805,2015
10767393,
9970069,2018
9759769,2021
11459982,2009
12240673,2009
4853169,2023
14430577,2010
6124036,2016
4113746,2020
11583121,2018
4695651,2006
10084433,2007
7872044,2023
12860906,2021
10613213,2021
13259416,2007
12955400,2002
12165484,2005
11116491,2024
14378730,2009
3852025,2016
14208493,2007
14463638,2003
7543174,2019
8717542,2007
14167181,2023
14121485,2008
3396358,2023
3442785,2016
11564210,2001
14602075,2007
12809218,2004
6512040,2015
11088371,2014
14238737,2003
11074604,2017
14331050,2001
8993489,2013
3926299,2015
11258975,2005
8123894,2017
7153778,2004
7451762,2024
3464786,2003
13099296,2010
5370674,2005
9221336,2019
7536712,2023
14426956,2006
10672040,2013
10005809,2013
11060574,2016
14395922,2012
7216040,2013
14239724,2012
11204197,2017
3791323,2009
3495831,2006
9025457,2015
13810220,2013
7330490,2008
7186579,2009
7987730,2007
14038358,2005
16209035,2009
6085784,2018
12856405,2020
5545700,2022
12948638,2001
7496055,2003
7740176,2010
8072778,2013
11765314,2013
13833062,2011
6947451,2013
9251861,2010
11391528,2007
7384994,2019
12140247,2018
7970649,2002
8651027,2007
12568240,2019
7790508,2003
10421185,2013
3462183,2007
13987501,2006
13229725,2019
12634449,2016
7941139,2023
12646912,2011
8664310,2016
12576830,2021
3720581,2014
6153517,2002
3685860,2015
13811148,2005
13688482,2013
13672838,2022
4292054,2017
13609114,2018
11172138,2004
11532069,2007
7389084,2014
6058805,2018
13772698,2011
4229553,2020
5578268,2004
10813711,2016
5395444,2008
6270130,2000
12974624,2016
14420845,2019
4012356,2020
13509117,2013
10836595,2024
5855634,2001
11231712,2006
3947406,2001
10078832,2012
12650281,2004
7421412,2013
4217779,2015
26154916,2002
11534014,2024
8195064,2016
13903649,2023
29188381,2011
12296205,
1405432,2000
5021257,2008
6911564,2002
24655579,2005
21126241,2007
25232212,2012
18950034,2013
5868432,2008
7947943,2004
29454228,2011
11835152,2010
14571155,2013
21681691,2011
23502590,2019
21423583,2004
8072849,2024
18646930,2012
16950555,2022
26463254,2009
22615057,2012
12235629,2004
13092744,2016
13558543,2023
13360538,2005
14629125,2009
7871892,2008
9587128,2013
9090706,2024
8741145,2022
10364481,2001
5837344,2015
11674822,2019
6892438,2024
17969348,2014
13147319,2002
6954699,2023
11361678,2000
13040666,2014
10736685,2023
2290579,2010
17932463,2022
16940730,2018
10681341,2001
9270747,2019
11130882,2000
23931577,2015
6922431,2008
8278925,2023
29943342,2012
12880521,2023
13520500,2023
6354610,2024
17322645,2002
10819791,2006
13137168,2016
11512296,2012
16304826,2016
8909403,2007
7915374,2006
14125344,2024
12057219,2013
12646442,2021
13035837,2008
28439534,2007
15479397,2000
11662499,2023
21122564,2010
11357007,2015
7928485,2014
17543586,2020
4008162,2008
8768191,2008
13190923,2011
24160429,2016
18946041,2018
5390845,2002
17288803,2002
11964872,2009
20336557,2021
16057208,2007
6709108,2018
8756432,2018
8731795,2021
28566169,2013
24759154,2022
6003174,2006
13591209,2007
11185229,2004
16943882,2005
11048661,2021
8099702,2024
17270955,2008
11540062,2002
2298481,2020
11184790,2022
6365048,2011
10092160,2016
9057582,2013
27657545,2014
1249768,2018
20147351,2022
10910606,2018
15344048,2021
22384367,2023
23661780,2007
14451733,2023
23713367,2016
7558665,2010
11463817,2018
10828862,2004
13536722,2021
10010855,2002
3836711,2022
20107417,2005
6571905,2010
5549857,2021
4383070,2001
11459495,2012
8408971,2021
27684606,2009
10886010,2015
18331832,2004
7119314,2018
13382071,2000
21076209,2024
13004833,2023
9097990,2021
9346009,2006
4673926,2017
6127228,2005
6049970,2004
10784402,2000
20774965,2001
7750427,2008
12845387,2006
14027738,2004
1499255,2024
11559270,2022
22864066,2022
10901533,2004
14631050,2020
12613113,2002
5150845,2013
20806312,2005
2956546,2011
5175684,2005
16118302,2012
6929717,2006
22431495,2005
29571536,2021
12984639,2004
29517029,2015
6432724,2021
29485918,2002
28188016,2015
23564787,
11012166,2021
9697771,2018
14736407,2023
27341925,2000
27977270,2000
19237180,2020
20960931,2019
8238166,2006
11322259,2014
16934645,2017
16556246,2010
15496228,2001
15342920,2005
15259567,2017
16633905,2004
15078921,2007
15725980,2008
15186294,2011
17469945,2001
17489176,2010
16580348,2018
16470856,2002
15914547,2013
15792361,2017
15186301,2021
15077367,2006
15697622,2000
17171121,2013
16590123,2014
15530956,2017
17916042,2000
17029818,2007
17181405,2014
15448799,2013
17797314,2023
17401926,2019
15716019,2005
15557752,2011
15215762,2013
16599493,2015
17479939,2007
15741689,2021
16114945,2008
17068804,2022
17619133,2006
15166267,2022
15395486,2013
16557881,2006
17733490,2008
17621735,2019
17723986,2024
15830714,2016
15326450,2018
17395365,2016
15117594,2018
17456155,2015
17344130,2020
16864796,2020
15321462,2012
16899156,2004
17844602,2016
17834689,2019
17427040,2021
17004991,2004
15449337,2019
17153213,2016
15638041,2020
17126257,2012
14759762,2010
15778349,2010
16796958,2017
16669304,2013
15727632,2013
16228061,2007
15643357,
15017789,2001
16714005,2004
15814529,2018
15447636,2004
16566569,2001
15633774,2013
15332730,2024
17958721,2013
16096688,2006
15237515,2008
17627968,2012
16343788,2000
15833217,2010
15999848,2011
17539225,2022
17930503,2014
17824247,2012
15763979,2019
16735388,2013
15010692,2010
15573108,2016
16606396,2007
16571485,2022
17977943,2017
16959384,2013
15594108,2013
16784718,2023
16283080,2013
16351392,2009
15765068,2002
15048194,2004
16913983,2020
17663607,2012
17755239,2019
17791064,2021
15913051,2004
16937521,2001
15074635,2015
15840195,2006
15403325,2008
16664454,2001
16627734,2001
17250741,2017
15338988,2022
16253366,2012
15047455,2005
16690240,2013
16471289,2023
15859166,2001
17668071,2005
17845424,2012
16246888,2000
17809698,2020
17951038,2023
16628693,2000
15396202,2001
17586577,2016
15064617,2013
16864955,2019
15773938,2008
15696289,2019
16724581,2022
16702659,2011
17187820,2004
16096722,2024
15706258,2020
17228131,2005
16646719,2005
16496249,2016
16516943,2014
17482596,2018
17584513,2017
17435948,2022
17725863,2019
16951880,2011
16375302,2008
17816480,2018
16795753,2006
15005875,2014
16452865,2004
17087435,2001
16642667,2016
15377023,2010
17903571,2009
17450107,2020
15867082,2018
16039806,2014
16742302,2006
17404935,2008
17167025,2013
16101636,2008
15930236,2021
16506114,2000
17763024,2006
15113870,2015
17753755,2002
17147596,2001
17316002,2000
15463580,2024
16794567,2013
15597742,2019
17997991,2018
17636574,2000
16323094,2013
15890522,2014
16606268,2009
15591667,2000
17125039,2023
16023632,2021
15306444,2012
17923129,2011
15208698,2017
16315019,2001
15931907,2012
15321869,2014
15826426,2006
15076336,2018
16328746,2001
16279462,2000
17810158,2013
17930182,2001
17011669,2017
17289322,2014
17577365,2004
15178978,2019
16586256,2013
17544850,2020
17281667,2021
15923408,2023
15711763,2010
16757064,2021
15328539,2012
15950881,2010
17965205,2024
17719412,2020
16638774,2021
15048017,2013
17907370,2013
17699435,2020
15030523,2011
15801141,2009
17451324,2016
15142480,2001
15726303,2019
16667370,2022
16330657,2010
15435711,2001
15758952,2001
15905543,2019
16182721,2012
17836877,2019
17430195,2024
17447340,2024
16354505,2012
15262844,2020
15584017,2016
15187353,2023
15243839,2014
15849602,2021
15574486,2013
17866165,2020
16069756,2000
17564139,2015
15737277,2015
16508239,2021
15738210,2010
15850112,2020
16874223,2018
15508612,2015
17676921,2006
15985957,2014
17489225,2019
16335248,2009
15248188,2017
15985864,2016
15884002,2017
15258725,2006
15877739,2008
15535537,2013
16766935,2000
16195611,2016
10211077,2000
17209490,2010
17823149,2017
17724014,2012
16459268,2023
17130211,2012
16444196,2017
17305000,2019
16133501,2017
17185100,2005
16803371,2012
15221823,2005
16752477,2007
17664162,2017
16731636,2000
16491490,2011
16395602,2000
17578171,2011
15330970,2013
15880963,2004
17783607,2011
17668157,2020
16950024,
17508058,2005
17886342,2015
16232636,2001
16241848,2022
17447446,2002
15942796,2014
17600465,2017
16741097,2010
16130156,2005
16103216,2016
17972315,2004
15604146,2009
15409334,2010
15859048,2021
16950476,2007
15557462,2002
16791845,2022
16799855,
17636364,2005
16593945,2000
17478172,2022
17152789,2014
15570821,2023
16304897,2021
16068215,2016
15758211,2007
15050780,2001
17759706,2024
16968479,2014
15895756,2015
15315674,2016
16636236,2021
17900614,2020
15939762,2004
15990143,2005
15961661,2005
17019953,2010
16890636,2007
15603181,2014
15684321,2013
15938872,2024
15783945,2007
16968773,2000
16235683,2013
17202009,2015
16352456,2023
17496442,2007
17600764,2019
16465793,2023
17316988,2018
17730277,2002
15989268,2024
15058384,2022
16149417,2021
17268869,2014
15594820,2017
15279542,2024
16921381,2016
17097569,2000
16042940,2023
15871390,2018
15466883,2008
16476207,2022
19561336,2015
7591774,2009
10740432,2006
28714136,2015
26982853,2009
12934507,2009
8250919,2016
10136810,2011
18036000,2016
11150670,2022
6074078,2024
27857815,2017
28040485,2006
7954764,2011
5674913,2007
16822084,2017
10898149,2016
18835656,2014
11116906,2010
28506859,2011
14189309,2006
13703382,2016
13269680,2014
14970156,2001
21089533,2004
18075899,2013
12801008,2002
11279435,2020
8930161,2007
20215888,2014
18859961,2004
5768980,2002
1200909,2017
14434406,2004
8325888,2000
16755703,2015
25824767,2021
8797248,2013
23058638,2004
4706113,2024
14844491,2010
24618476,2013
28557048,2011
27517289,2011
8487001,2004
15876886,2009
9165485,2002
11495422,2007
9202698,2023
6208403,2016
6584235,2023
13436252,2010
13127998,2024
15911727,2015
15172174,2020
13736374,2010
15443685,2020
9033325,2023
21299208,2016
13117702,2017
7868278,2024
17634025,2021
27337112,2009
11168267,2018
1696187,2005
15110797,2008
25298210,2006
7212644,2012
11044190,2024
23113128,2014
8839089,2022
14631681,2000
13852055,2008
11547267,2019
1509431,2017
3844874,2014
19737159,2024
9772543,2009
8737957,2004
18628641,2001
20918855,2008
5481827,2014
26546904,2012
13677360,2006
9088100,2022
6606702,2000
14073700,2004
11058896,2019
10770164,2004
4659061,2022
29176780,2021
25348650,2022
10415356,2019
10496118,2016
8465125,2006
9518281,2016
24207170,2021
10667521,2000
14691091,2001
10947620,2012
7693941,2018
28551416,2002
14934425,2011
13366640,2009
10650269,2012
19878460,2006
20505444,2024
23556830,2017
18350680,2019
14240480,2021
23636140,2023
9844003,2005
24741959,2013
5894301,2021
25262264,2021
13231330,2003
16734195,2006
14129740,2012
17041748,2012
6212498,2005
6680601,2016
14693184,2006
19350333,2012
10342458,2016
8375443,2021
9802957,2014
12900592,2010
2204345,2017
10053443,2010
18705509,2020
12906687,2000
2479924,2010
3266252,2022
11095080,2000
5676316,2006
14047576,2007
14842710,2019
12627674,2002
12295589,2011
11026852,2016
7820852,2022
11875568,2017
12166695,2019
8186721,2019
9029529,2007
14893815,2001
11160533,2018
12850957,2015
18669981,2016
10114522,2006
25458214,2023
25614564,2017
5390633,2017
11227956,2000
28766849,2016
18412948,2019
16698977,2003
17877522,2007
3185447,2019
10157205,2003
11258220,2024
4558731,2005
7724573,2012
23730649,2016
10122411,2006
4129007,2011
2151100,2023
20335006,2003
6951327,2002
13933080,2013
25061961,2016
21831399,2007
12718210,2024
9660728,2010
5609859,2011
27484432,2016
14198789,2009
8828175,2008
25948949,2003
1828582,2019
3172220,2019
9015923,2021
14912259,2015
5026652,2012
14328934,2001
18012941,2017
10594964,2019
25581362,2019
9240345,2016
14822638,2008
21397407,2001
15769330,2022
9185218,2017
6300296,2007
6454414,2011
25310136,2005
16248956,2012
4102999,2023
20216019,2022
9504393,2022
3925270,2010
4129843,2007
8925060,2024
15927798,2023
13203714,2020
6024472,2018
9888491,2013
5162642,2024
18646496,2023
20090472,2013
7758766,2011
8432805,2015
5165296,2021
13952629,2017
24207810,2002
6723383,2016
21405824,2006
10884244,2023
12053896,2009
9202491,2022
18637334,2022
27120616,2019
15784130,2008
10610095,2001
16440271,2015
29296840,2019
27077424,2007
24225951,2007
13838093,2014
3866982,2024
11763867,2017
6073827,2011
9200622,2015
7819134,2023
14686059,2005
7484815,2002
13425853,2022
13397307,2017
13565342,2001
1137753,2017
10644620,2002
22757414,2006
11854889,2001
11825576,2021
14782276,2012
7754692,2007
17819637,2023
26418911,2019
12767268,2019
11702281,2001
5605178,2016
29228884,2015
1368922,2020
23661847,2014
9628728,2012
17469782,2015
27436339,2009
19379597,2024
14309495,2003
28192388,2011
25192628,2014
20095624,2010
10290299,2010
1821230,2016
6537764,2000
6567495,2011
4747613,2019
3427667,2017
5227996,2019
14559923,2002
1959755,2013
18619027,2002
10726485,2002
10786782,2016
19157868,2006
21526105,2019
15670956,2006
28762030,2002
11781234,2024
5972557,2016
7436580,2020
14380636,2015
11985473,2024
6253145,2017
19076187,2024
19603470,2009
29192948,2022
6768257,2006
14884010,2003
9279986,2002
21846914,2013
26971188,2005
25303077,2000
8840965,2002
9457792,2008
8722956,2003
8607917,2019
14375088,2021
17977975,2013
3754562,2023
11216259,2002
17584586,2024
14354556,2007
12552123,2008
25007708,2020
13956817,2012
10809235,2022
7443207,2010
1624378,2021
10759666,2017
24623125,2018
14339647,2011
25887507,2005
15844013,2007
11304318,2002
9148243,2014
5921765,2016
28408049,2021
16509894,2013
29743575,2008
9929789,2010
29922317,2002
9583532,2008
21957980,2002
2459010,2017
8808580,2018
8882721,2003
9101332,2005
11494804,2008
6231237,2011
7822223,2001
26247664,2008
26645951,2024
10157320,2009
9342958,2023
10841645,2011
19459103,2021
14744740,2019
12750638,2001
11819555,2020
9245653,2011
10059674,2006
25810007,2017
24637928,2001
24351658,2021
24205645,2005
29990170,2000
11082837,2018
18225297,2017
12187620,2015
12175223,2005
8041384,2016
11738813,2003
9677350,2019
14826222,2016
17329943,2023
12508553,2011
27097020,2010
5128248,2006
18813349,2008
12695493,2010
11845292,2015
11616244,2009
19922859,2014
14279297,2018
26649625,2006
12035711,2003
15157527,2018
8351164,2010
29738202,2011
28703798,2002
10399211,2003
7045599,2017
8688821,2014
3182684,2022
3357113,2000
8235553,2021
12828713,2021
29843233,2018
15921370,2001
7784540,2024
11463979,2017
4535846,2015
5219890,2016
9850153,2018
4377520,2019
27876032,2022
8376282,2009
12915873,2010
1378493,2003
14298520,2014
5128841,2006
26946697,2013
5708480,2024
13191983,2013
26087132,2024
24556040,2013
1040679,2011
8581122,2024
21377303,2019
4436888,2021
17313334,2000
11772588,2019
10040716,2018
11338344,2021
22396930,2021
10047305,2005
9055948,2024
25232140,2012
10497824,2013
23405916,2015
7003659,2005
14618384,2000
5283577,2005
9587371,2001
5414555,2019
11462852,2002
6724045,2014
4179105,2009
11540809,2017
9163709,2017
14332108,2011
4254896,2005
24433761,2000
1857303,2019
8651447,2019
6942634,2016
9849678,2009
29753675,2008
24331968,2019
12952151,2013
15068616,2017
15095189,2022
1649357,2014
23426613,2010
16832410,2000
17289020,2015
16520612,2010
16185693,2001
16517692,2012
15167613,2002
17270439,2019
15812680,2001
17488118,2022
16437252,2023
17191835,2021
17035878,2000
15110188,2012
16121717,2019
17138735,2020
15433085,2020
17333077,2011
17324670,2007
15795948,2019
15791241,2019
15821425,2007
16512597,2003
15583559,2012
16066418,2021
13666094,2019
17488696,2016
16833953,2003
15834206,2006
17076131,2000
17939178,2015
16990933,2009
15856740,2007
17555505,2016
16942951,2001
15201671,2011
16770503,2022
17618728,2019
17205105,2018
16144914,2020
17732931,2020
16490019,2002
17159562,2000
16182479,2019
