omset,tahun_berdiri,kapasitas_produksi_mod
19492355,2002,1682
18224345,2018,1521
19305001,2017,1554
18530062,2007,2307
19551679,2017,1948
19577749,2014,1363
18853850,2010,2054
19177980,2006,2507
19682269,2020,2184
19213238,2021,1245
19776649,2023,1655
18763915,2020,2164
19652620,2011,1565
19252831,2003,1932
19770758,2003,2102
18154431,2011,1364
19946151,2010,1822
19002246,2007,636
19635672,2003,1451
19392487,2009,1702
19094007,2011,1330
19940971,2000,2426
19428967,2004,1292
19497418,2000,1646
19533814,2016,1850
19114305,2013,2264
19259804,2009,1278
19996829,2007,2265
19106774,2023,1767
19633979,2023,1467
18815129,2017,1894
19094872,2015,1831
18156180,2018,1474
19621583,2015,1837
19838494,2002,1696
18498821,2003,1744
18168935,2009,1896
18037395,2000,2189
19869709,2022,1394
18962256,2023,2484
18374459,2009,1038
18948524,2024,1696
19734912,2010,2032
19936827,2003,1943
19986566,2011,1624
18483001,2016,1634
18043886,2020,1499
19980125,2004,1635
19765055,2009,2128
18519294,2012,1829
19635755,2020,1569
19977049,2012,2168
19138097,2004,1873
19582112,2008,2095
19191499,2019,1990
18025687,2000,1386
19983463,2014,1646
18618838,2014,1971
19270510,2022,1992
18096005,,1661
18951430,2004,1789
19766436,2008,2280
19119447,2002,1560
18395452,2003,1880
19091931,2009,1692
18206318,2015,1606
19230016,2021,2158
18527261,2002,1988
18646346,2021,1997
18151241,2013,2108
18441924,2012,1708
19614779,2009,2053
19566963,2022,1698
18242437,2008,1790
18596712,2015,1671
18903228,2011,1778
19639179,2023,2024
18817092,2017,1456
19322099,2012,2515
18458767,2009,1363
18933675,2000,1330
19675460,2005,2227
18275618,2020,1950
19335042,2014,2003
18975825,2013,1968
19335701,2010,1781
18108013,2017,1370
19995842,2018,1875
18952401,2024,1516
18554665,2007,2042
19171576,2023,1719
18621682,2009,1437
19724379,2019,1708
18864669,2024,1882
18937897,2007,1554
18261153,2009,1408
19601027,2019,1896
19134135,2022,1851
19545850,2007,1627
19767894,2007,1659
19404883,2006,1873
19285242,2005,1275
18064122,2009,1197
18070631,2023,1427
19768799,2017,1750
19833315,2014,1943
18780425,2015,2237
18493865,2018,1995
18391131,2002,1642
19875741,2012,1830
19333456,2017,1435
19196041,2008,1766
18660611,2022,1623
18875390,2008,1852
18217258,2017,1403
18489839,2006,1881
19760451,2021,2370
19628757,2018,1775
19672617,2018,1959
18169393,2014,1905
19558588,2014,1665
18117724,2007,1745
18537388,2013,1714
18534814,2015,1743
19564174,2023,1534
18915885,2015,1754
19326553,2017,1958
19068560,2016,2262
19377470,2009,2125
19285233,2009,2531
19922652,2013,1567
18670419,2020,2019
19415589,2007,1857
18580978,2019,2457
19049143,2005,1479
19494621,2003,1505
18080509,2023,1467
18130621,2010,964
18523353,2019,1530
19733599,2014,1554
19535544,2018,1857
19058879,2016,1877
19352881,2019,2443
19721649,2023,2159
19297242,2004,1580
19865260,2022,1515
18585140,2013,1881
19883137,2021,1366
18072558,2022,2274
12206425,2010,1408
11269891,2022,909
4288329,2007,113
5556260,2024,700
7114158,2011,608
13781538,2012,1599
6165859,2018,267
6840294,2024,495
4617800,2000,393
13660337,2003,1261
7755097,2004,603
9098415,2003,947
4342908,2010,211
14487639,2012,1286
11334780,2021,1057
9039770,2007,919
8807697,2003,936
8104379,2006,501
11226913,2012,651
50008922,2006,5668
14212865,2023,1393
4995239,2024,313
7047203,2013,905
13551651,2021,1269
8613283,2016,1011
12694964,2017,1174
6778195,2016,965
13472384,2016,1704
11603954,2015,993
14181713,2005,1569
7909084,2010,829
11296452,2000,1353
11870344,2005,840
4570607,2021,490
9246713,2007,1055
8175894,2011,382
9448599,2002,595
12457622,2021,613
6963697,2009,566
5146093,2024,555
6460166,2009,829
9221469,2007,844
7586982,2005,982
6002818,2003,291
3415603,2008,52
3724948,2014,300
9045847,2015,892
10139524,2022,908
7067681,2009,247
12504004,2003,1116
6660214,2009,355
4664635,2007,497
10013167,2023,985
9223609,2010,629
12896746,2022,1041
14016674,2005,988
5527531,2009,468
9025087,2022,1009
13995083,2003,1007
7500087,2002,760
8813727,2011,680
10679821,2000,782
8482328,2013,736
6160239,2010,362
10964620,2007,863
13936985,2012,944
11999431,2009,1581
6060825,2005,535
5389350,2023,354
10752642,2013,1023
10723092,2003,944
10909515,2009,936
10940200,2002,1135
14635909,2022,1557
10829629,2019,856
11565952,2017,910
12701007,2006,1086
13399989,2003,605
4879969,2014,186
7843348,2022,962
9610417,2011,1222
10029428,2007,849
7021267,2021,725
6207919,2007,596
8233829,2006,1345
8911596,2017,1031
10474570,2017,917
10413686,2005,723
7170917,2024,338
12575990,2015,1198
8608625,2014,616
10605649,2005,631
12825722,2012,1000
9922218,2008,655
6580965,2011,875
9422718,2015,1036
4874788,2006,415
6990702,2007,886
14030670,2018,1305
6962029,2019,458
10594186,2000,1309
5008358,2010,513
13804011,2008,977
10327776,2012,890
9501608,2002,666
11044400,2016,673
4214868,2008,487
4750505,2024,693
6275535,2017,309
6649388,2015,684
16252381,2006,1293
7088714,2017,537
14596324,2014,1168
7086979,2004,468
13803895,2009,1275
11618542,2006,852
12483633,2014,1206
7650178,2017,670
4717262,2005,366
13214309,2007,964
9312187,2011,714
11839251,2020,1263
5071409,2002,513
5125462,2024,288
7737186,2024,707
3551865,2006,393
10427668,2018,561
8655115,2016,885
6602739,2014,463
10680368,2010,1098
13584436,2002,1034
4647218,2005,125
5377285,2024,205
14144132,2016,1307
3400570,2022,312
10155608,2009,713
9466441,,989
10091586,2002,539
8536501,2022,750
14584023,2017,991
11081025,2015,849
8619508,2009,781
13218951,2018,977
3880265,2016,269
7132408,2008,815
13216820,2024,1053
5536568,2024,614
11744595,2012,789
6444842,2019,657
12432623,2005,1500
6853034,2012,160
4298892,2012,247
5650448,2022,584
7787711,2022,653
9533033,2004,938
5668848,2015,393
6460822,2010,582
9250546,2019,798
14168689,2010,1622
6787686,2016,643
8008024,2024,779
9112889,2012,731
13905687,2003,1137
12152640,2013,997
11211508,2012,1111
13662020,2019,1134
5770283,2002,549
12025354,2024,1612
12169717,2009,1327
9728955,2017,805
3927978,2017,495
3885699,2003,266
6172322,2018,192
5288214,2009,296
8074680,2000,352
6959401,2003,550
6994386,2009,621
4968186,2008,684
10243731,2008,999
9074680,2009,768
13245872,2023,1430
4455296,2021,52
7033149,2009,664
7406866,2007,801
12186386,2007,736
6157280,2024,733
10213745,2016,998
10727810,2009,874
3761456,2018,398
3986032,2020,652
11864408,2007,1123
4742175,2023,442
12628328,,1032
6858934,2012,452
9980409,2023,1084
14109238,2014,1052
11449232,2005,1056
5869925,2017,431
9770630,2010,985
6767711,2012,655
3789443,2004,457
12010425,2011,965
6098911,2012,487
12199127,2015,863
3658711,2019,241
6397257,2002,626
12179868,2004,1299
3700443,2006,179
7700372,2008,850
13921077,2009,1647
12143745,2016,1209
14599345,2013,1872
14057041,2013,1071
13171011,2014,871
12836637,2004,706
13139727,2003,1596
3437442,2000,368
4025671,2015,328
8009402,2006,768
5978331,2012,332
9023577,2017,1321
4301196,2022,381
5416513,2006,485
8840257,2005,942
11448380,2008,1155
3726916,2015,339
5347393,2022,336
10057773,2007,1012
5705351,2003,804
14460609,2019,1705
8049658,2022,1029
9253083,2015,723
14272185,2013,1028
8736494,2003,756
12765419,2013,1178
6661285,2003,779
11602874,2009,640
4722722,2017,633
4571883,2020,365
6231651,2022,472
8645258,2021,567
12181550,2016,691
8512562,2024,927
14194511,2010,1319
11208920,2017,708
11383121,2018,720
6210970,2019,486
4046825,2022,574
7916363,2022,654
3827911,2017,109
13766528,2021,1191
6239999,2008,499
4791114,2024,50
8756384,2018,773
10557192,2018,901
7393921,2007,785
3667631,2016,554
4544461,2004,552
9241142,2004,773
6849402,2022,405
14391068,2008,2043
7025461,2009,631
6314345,2007,555
8644968,,769
10078069,2011,953
6518850,2004,547
13311333,2016,1062
3851510,2009,244
4447348,2011,371
11868291,2004,944
10976154,2007,826
8756326,2024,806
6170435,2011,496
6300108,2022,810
11858524,2009,421
4910517,2018,587
13322945,2024,1550
4395605,2023,68
14084392,2010,1193
10259669,2021,842
8777013,2002,496
9375493,2000,676
7890495,2009,487
12178947,2005,1550
4067978,2009,473
5120859,2021,638
10039850,2014,1066
12670789,2006,862
12781514,2008,1028
3830806,2000,386
7154450,2023,408
11262007,2021,1192
13849770,2012,1200
7907338,2017,631
13383965,2006,1413
4781107,2008,475
7045123,2016,556
7178549,2023,848
11605246,2005,790
5053369,2010,529
6148994,2017,638
11032617,2010,926
11396081,2009,1113
12497594,2016,817
11946161,2015,1316
10948816,2016,948
6200069,2009,453
8434175,2013,965
14663122,2005,1142
14317487,2005,914
13230998,2018,793
6674745,2019,694
8834504,2008,527
11222962,2001,1437
13112526,2004,645
13961251,2007,1745
6846910,2015,641
7847482,2024,679
8752332,2003,672
11237133,2014,1114
7187081,2001,629
4542183,2010,549
11158328,2014,1039
9603279,2012,897
14263182,2024,1203
4016432,2022,327
7233580,2015,697
10833941,2022,581
6868509,2006,363
9281027,2013,992
9242087,2009,866
6970833,2002,582
4166234,2010,352
9641625,2006,943
13119731,2021,1054
4971248,2009,306
3619685,2007,324
3980731,2013,195
12529661,2020,1246
9354004,2006,477
3938367,2015,472
8556123,2018,861
6369726,2016,602
10158449,2013,1137
7943709,2022,1031
4946719,2018,579
6457985,2006,246
7919958,2013,456
12732813,2021,998
10480609,2011,953
3444159,2011,350
6205001,2024,419
13324263,2007,1266
4086921,2008,235
5701216,2013,395
14489868,2017,928
13274821,2017,965
6043595,2017,299
7096119,2008,448
13635463,2010,1532
7849352,2010,515
4553594,2006,777
4232352,2007,427
5529590,2009,509
10745259,2007,773
12374161,2006,1305
7721479,2010,576
10595962,2007,986
7831551,2010,1190
6003483,2006,507
13730848,2001,1569
5180091,2007,335
14580979,2002,1325
10737951,2007,1383
9037722,2002,679
13581084,2019,1732
9851899,2013,1044
11429201,2018,901
7285017,2007,762
8948396,2009,1005
3677239,2011,388
8541805,2013,446
6944869,2019,481
12493726,2008,1074
6366698,2014,545
6223518,2016,650
6535366,2019,605
7833459,2003,439
8525074,2001,839
5405176,2006,565
5406869,2018,557
6082155,2021,714
14343015,2011,1548
4177002,2013,416
11576596,2004,1034
11876905,2024,667
10187626,2009,1016
3523427,2019,317
6856689,2020,653
6445425,2011,343
10959530,2006,738
14591721,2023,1636
6388547,2021,553
5854475,2007,623
8923594,2022,806
4038267,2017,342
10778951,2008,1194
4290717,2011,287
12520937,2003,1165
10325586,2009,828
4248923,2007,295
11192473,2003,941
4644776,2022,428
12196967,2024,989
3514638,2005,456
11310896,2011,811
10035261,2007,863
5093470,2014,369
11031980,2007,1342
6429534,2012,598
3397648,2017,414
12862669,2022,784
16665719,2021,1616
12762137,2014,1394
3541120,2024,302
5011288,2017,594
11843888,2010,948
16319940,2017,1935
10840261,2008,1519
8983240,2021,730
10091512,2014,811
6231185,2018,794
6794113,2017,881
13390042,2016,1082
7096093,2020,550
4299740,2007,321
9481424,2022,563
11803480,2018,846
10074461,2016,684
12267382,2019,922
5755192,2004,494
10394103,2005,992
14472988,2023,1764
7278036,2009,459
4831130,2020,562
11841275,2007,1023
12267463,2019,1104
8674928,2018,914
13830301,2023,956
3667740,2006,355
6993131,2018,647
8840322,2009,894
8148053,2016,783
10375654,2007,1496
6811009,2010,486
12504280,2019,1003
4915040,2004,325
6989813,2006,516
13162617,2013,1032
13427425,2007,1546
11856534,2003,1429
11290489,2003,887
13862159,2018,1038
3861112,2020,386
8815476,2020,676
4752809,2014,501
6199895,2017,577
4634875,2020,167
4409541,2005,599
4938065,2016,698
4861237,2003,322
12097622,2024,1003
5154069,2009,488
4470603,2009,428
8188769,2013,861
9630333,2005,1304
11078875,2015,962
14248937,2013,1080
5668464,2011,266
9346469,2007,684
8017614,2010,708
10993266,2023,1419
9869180,2013,775
6597972,2021,619
7194177,2023,633
12304504,2007,1421
13061543,2018,1859
8692214,2015,669
8541557,2013,665
10339441,2004,1171
6350974,2006,674
9077846,2008,1202
6657902,2019,689
12993259,2023,1090
5586996,2016,580
11446004,2003,1307
10471391,2004,1134
8700447,2002,883
6207109,2016,725
9671570,2005,1126
10581805,2015,1275
10767393,,1125
9970069,2018,862
9759769,2021,911
11459982,2009,1332
12240673,2009,907
4853169,2023,471
14430577,2010,1210
6124036,2016,540
4113746,2020,527
11583121,2018,1098
4695651,2006,407
10084433,2007,606
7872044,2023,845
12860906,2021,1341
10613213,2021,1459
13259416,2007,1128
12955400,2002,1239
12165484,2005,1169
11116491,2024,1382
14378730,2009,1289
3852025,2016,359
14208493,2007,1470
14463638,2003,1377
7543174,2019,585
8717542,2007,820
14167181,2023,1596
14121485,2008,1006
3396358,2023,294
3442785,2016,188
11564210,2001,1341
14602075,2007,903
12809218,2004,1022
6512040,2015,638
11088371,2014,1376
14238737,2003,1284
11074604,2017,872
14331050,2001,1841
8993489,2013,504
3926299,2015,50
11258975,2005,1126
8123894,2017,625
7153778,2004,445
7451762,2024,794
3464786,2003,316
13099296,2010,1046
5370674,2005,259
9221336,2019,1013
7536712,2023,791
14426956,2006,1293
10672040,2013,1393
10005809,2013,664
11060574,2016,641
14395922,2012,1122
7216040,2013,630
14239724,2012,1371
11204197,2017,958
3791323,2009,363
3495831,2006,119
9025457,2015,1111
13810220,2013,1240
7330490,2008,857
7186579,2009,699
7987730,2007,800
14038358,2005,1442
16209035,2009,1627
6085784,2018,640
12856405,2020,1519
5545700,2022,512
12948638,2001,1367
7496055,2003,648
7740176,2010,964
8072778,2013,587
11765314,2013,1513
13833062,2011,1253
6947451,2013,354
9251861,2010,858
11391528,2007,869
7384994,2019,811
12140247,2018,940
7970649,2002,623
8651027,2007,388
12568240,2019,1028
7790508,2003,226
10421185,2013,580
3462183,2007,384
13987501,2006,1497
13229725,2019,1321
12634449,2016,901
7941139,2023,698
12646912,2011,1151
8664310,2016,539
12576830,2021,1533
3720581,2014,428
6153517,2002,500
3685860,2015,308
13811148,2005,1320
13688482,2013,694
13672838,2022,1182
4292054,2017,263
13609114,2018,971
11172138,2004,946
11532069,2007,1484
7389084,2014,774
6058805,2018,432
13772698,2011,1416
4229553,2020,557
5578268,2004,633
10813711,2016,993
5395444,2008,363
6270130,2000,669
12974624,2016,1287
14420845,2019,1573
4012356,2020,425
13509117,2013,1517
10836595,2024,856
5855634,2001,728
11231712,2006,1066
3947406,2001,620
10078832,2012,755
12650281,2004,1601
7421412,2013,695
4217779,2015,261
26154916,2002,2217
11534014,2024,969
8195064,2016,815
13903649,2023,1415
29188381,2011,2440
12296205,,1113
1405432,2000,314
5021257,2008,698
6911564,2002,688
24655579,2005,2305
21126241,2007,2000
25232212,2012,2607
18950034,2013,1397
5868432,2008,468
7947943,2004,383
29454228,2011,2937
11835152,2010,1236
14571155,2013,1197
21681691,2011,2608
23502590,2019,1682
21423583,2004,1430
8072849,2024,763
18646930,2012,2076
16950555,2022,2093
26463254,2009,2255
22615057,2012,2521
12235629,2004,1104
13092744,2016,1149
13558543,2023,1478
13360538,2005,1395
14629125,2009,890
7871892,2008,986
9587128,2013,1162
9090706,2024,684
8741145,2022,864
10364481,2001,1049
5837344,2015,551
11674822,2019,925
6892438,2024,487
17969348,2014,1647
13147319,2002,1511
6954699,2023,712
11361678,2000,941
13040666,2014,1393
10736685,2023,309
2290579,2010,307
17932463,2022,1078
16940730,2018,1444
10681341,2001,707
9270747,2019,558
11130882,2000,1285
23931577,2015,2028
6922431,2008,673
8278925,2023,729
29943342,2012,3025
12880521,2023,1194
13520500,2023,888
6354610,2024,729
17322645,2002,1436
10819791,2006,616
13137168,2016,1085
11512296,2012,1410
16304826,2016,1760
8909403,2007,726
7915374,2006,637
14125344,2024,1203
12057219,2013,1616
12646442,2021,1251
13035837,2008,1302
28439534,2007,3134
15479397,2000,1491
11662499,2023,996
21122564,2010,1881
11357007,2015,1013
7928485,2014,698
17543586,2020,1852
4008162,2008,342
8768191,2008,936
13190923,2011,1182
24160429,2016,2274
18946041,2018,1061
5390845,2002,612
17288803,2002,1703
11964872,2009,1336
20336557,2021,828
16057208,2007,2112
6709108,2018,565
8756432,2018,1012
8731795,2021,568
28566169,2013,2950
24759154,2022,1853
6003174,2006,419
13591209,2007,1761
11185229,2004,968
16943882,2005,1628
11048661,2021,1207
8099702,2024,819
17270955,2008,1638
11540062,2002,1136
2298481,2020,456
11184790,2022,1000
6365048,2011,592
10092160,2016,1145
9057582,2013,1044
27657545,2014,3122
1249768,2018,140
20147351,2022,1450
10910606,2018,1371
15344048,2021,1069
22384367,2023,2192
23661780,2007,1887
14451733,2023,1305
23713367,2016,2334
7558665,2010,731
11463817,2018,1143
10828862,2004,1357
13536722,2021,1359
10010855,2002,848
3836711,2022,452
20107417,2005,2286
6571905,2010,361
5549857,2021,577
4383070,2001,473
11459495,2012,968
8408971,2021,1027
27684606,2009,2506
10886010,2015,1015
18331832,2004,1632
7119314,2018,632
13382071,2000,927
21076209,2024,1413
13004833,2023,1606
9097990,2021,638
9346009,2006,628
4673926,2017,75
6127228,2005,427
6049970,2004,305
10784402,2000,1359
20774965,2001,2294
7750427,2008,557
12845387,2006,1759
14027738,2004,1555
1499255,2024,63
11559270,2022,440
22864066,2022,3030
10901533,2004,661
14631050,2020,870
12613113,2002,1413
5150845,2013,825
20806312,2005,2436
2956546,2011,307
5175684,2005,538
16118302,2012,1742
6929717,2006,748
22431495,2005,2188
29571536,2021,2805
12984639,2004,1168
29517029,2015,2381
6432724,2021,515
29485918,2002,1920
28188016,2015,2577
23564787,,1783
11012166,2021,737
9697771,2018,912
14736407,2023,1749
27341925,2000,2964
27977270,2000,1870
19237180,2020,1431
20960931,2019,2289
8238166,2006,540
11322259,2014,973
16934645,2017,1732
16556246,2010,1220
15496228,2001,1453
15342920,2005,1014
15259567,2017,1223
16633905,2004,1630
15078921,2007,918
15725980,2008,1576
15186294,2011,1387
17469945,2001,1788
17489176,2010,1683
16580348,2018,1950
16470856,2002,1553
15914547,2013,1331
15792361,2017,1487
15186301,2021,1552
15077367,2006,1396
15697622,2000,1453
17171121,2013,1356
16590123,2014,1319
15530956,2017,1008
17916042,2000,2228
17029818,2007,1171
17181405,2014,1360
15448799,2013,1204
17797314,2023,1934
17401926,2019,1507
15716019,2005,1817
15557752,2011,1227
15215762,2013,1477
16599493,2015,1265
17479939,2007,2305
15741689,2021,1088
16114945,2008,1575
17068804,2022,1773
17619133,2006,1758
15166267,2022,1336
15395486,2013,1374
16557881,2006,1536
17733490,2008,1585
17621735,2019,1937
17723986,2024,2357
15830714,2016,1285
15326450,2018,1002
17395365,2016,1573
15117594,2018,2139
17456155,2015,1347
17344130,2020,2125
16864796,2020,2081
15321462,2012,1242
16899156,2004,1735
17844602,2016,2180
17834689,2019,1518
17427040,2021,1539
17004991,2004,1380
15449337,2019,1116
17153213,2016,1371
15638041,2020,1069
17126257,2012,1587
14759762,2010,1131
15778349,2010,1519
16796958,2017,1055
16669304,2013,1637
15727632,2013,1694
16228061,2007,879
15643357,,1548
15017789,2001,1733
16714005,2004,1158
15814529,2018,1956
15447636,2004,1542
16566569,2001,1303
15633774,2013,1418
15332730,2024,1571
17958721,2013,1680
16096688,2006,1643
15237515,2008,1127
17627968,2012,1679
16343788,2000,1066
15833217,2010,1420
15999848,2011,1195
17539225,2022,1376
17930503,2014,2061
17824247,2012,2001
15763979,2019,1630
16735388,2013,1196
15010692,2010,1284
15573108,2016,1791
16606396,2007,1571
16571485,2022,2247
17977943,2017,1787
16959384,2013,1621
15594108,2013,1339
16784718,2023,1586
16283080,2013,1449
16351392,2009,1722
15765068,2002,1735
15048194,2004,1151
16913983,2020,1135
17663607,2012,1027
17755239,2019,1802
17791064,2021,1277
15913051,2004,809
16937521,2001,1681
15074635,2015,2109
15840195,2006,1453
15403325,2008,1661
16664454,2001,1558
16627734,2001,1498
17250741,2017,1883
15338988,2022,1321
16253366,2012,1576
15047455,2005,1473
16690240,2013,1325
16471289,2023,1822
15859166,2001,1403
17668071,2005,1380
17845424,2012,1821
16246888,2000,1217
17809698,2020,1650
17951038,2023,1651
16628693,2000,1869
15396202,2001,1553
17586577,2016,1612
15064617,2013,1619
16864955,2019,1990
15773938,2008,1616
15696289,2019,1444
16724581,2022,1126
16702659,2011,1202
17187820,2004,1484
16096722,2024,1293
15706258,2020,1386
17228131,2005,1604
16646719,2005,1696
16496249,2016,1495
16516943,2014,1670
17482596,2018,1631
17584513,2017,976
17435948,2022,1301
17725863,2019,1586
16951880,2011,1176
16375302,2008,1691
17816480,2018,2145
16795753,2006,1929
15005875,2014,1313
16452865,2004,1975
17087435,2001,1620
16642667,2016,1425
15377023,2010,1229
17903571,2009,1550
17450107,2020,1481
15867082,2018,1508
16039806,2014,1522
16742302,2006,1541
17404935,2008,1744
17167025,2013,1961
16101636,2008,1769
15930236,2021,1013
16506114,2000,723
17763024,2006,1943
15113870,2015,987
17753755,2002,1562
17147596,2001,1204
17316002,2000,1014
15463580,2024,1579
16794567,2013,1784
15597742,2019,1259
17997991,2018,800
17636574,2000,1446
16323094,2013,1621
15890522,2014,1012
16606268,2009,1584
15591667,2000,1426
17125039,2023,1761
16023632,2021,1508
15306444,2012,1117
17923129,2011,2047
15208698,2017,1348
16315019,2001,1491
15931907,2012,1180
15321869,2014,1275
15826426,2006,1186
15076336,2018,1332
16328746,2001,2029
16279462,2000,1074
17810158,2013,1110
17930182,2001,2138
17011669,2017,1499
17289322,2014,1376
17577365,2004,1957
15178978,2019,1214
16586256,2013,2095
17544850,2020,1836
17281667,2021,1434
15923408,2023,2116
15711763,2010,1260
16757064,2021,1774
15328539,2012,1494
15950881,2010,1860
17965205,2024,2172
17719412,2020,1643
16638774,2021,1294
15048017,2013,1513
17907370,2013,1426
17699435,2020,2289
15030523,2011,1418
15801141,2009,1341
17451324,2016,1667
15142480,2001,994
15726303,2019,1152
16667370,2022,1909
16330657,2010,1298
15435711,2001,1106
15758952,2001,1608
15905543,2019,1820
16182721,2012,1707
17836877,2019,1971
17430195,2024,1360
17447340,2024,1146
16354505,2012,1967
15262844,2020,1305
15584017,2016,1355
15187353,2023,1782
15243839,2014,1561
15849602,2021,1593
15574486,2013,2075
17866165,2020,1434
16069756,2000,1759
17564139,2015,1636
15737277,2015,1525
16508239,2021,1993
15738210,2010,1597
15850112,2020,1618
16874223,2018,1891
15508612,2015,1315
17676921,2006,1354
15985957,2014,1151
17489225,2019,973
16335248,2009,2136
15248188,2017,1074
15985864,2016,1401
15884002,2017,1375
15258725,2006,1490
15877739,2008,1705
15535537,2013,1682
16766935,2000,1359
16195611,2016,1437
10211077,2000,985
17209490,2010,1504
17823149,2017,2171
17724014,2012,1794
16459268,2023,1741
17130211,2012,1788
16444196,2017,1876
17305000,2019,1651
16133501,2017,1086
17185100,2005,1710
16803371,2012,1340
15221823,2005,1241
16752477,2007,1725
17664162,2017,2032
16731636,2000,1545
16491490,2011,1612
16395602,2000,2034
17578171,2011,1697
15330970,2013,2174
15880963,2004,1629
17783607,2011,1060
17668157,2020,1874
16950024,,1680
17508058,2005,2031
17886342,2015,1870
16232636,2001,1449
16241848,2022,1116
