omset,tahun_berdiri,kapasitas_produksi
8599677,2018,90
9939054,2004,247
9055611,2009,988
8694590,2000,50
9203978,2024,666
8471762,2007,1238
8008070,2023,50
8772317,2022,543
8466785,2011,718
9111915,2005,865
9311148,2009,50
8480894,2006,50
9890766,2002,749
8361074,2004,764
9655495,2019,603
8921136,2016,862
9015917,2022,50
8328592,2000,539
9249414,2019,602
9086049,2007,50
8006831,2013,1436
8581868,2012,804
9862413,2011,66
9091405,2024,796
8865877,2024,50
8408148,2023,933
19720189,2004,2047
18465531,2021,632
18911419,2009,1960
18321904,2008,1155
19863250,2009,2042
18649522,2000,2696
18275979,2004,1022
19567328,2023,352
19376164,2018,322
18774633,2005,444
19190928,2008,945
19889463,2011,1270
19622728,2007,1614
18299428,2005,1807
19711443,2017,1245
19979295,2003,2146
16443788,2006,1054
18067821,2024,2887
19863594,2009,1898
18029697,2006,761
18740254,2013,477
18791614,2007,1831
18606164,2014,1055
19938496,2006,1558
19422620,2020,1327
19679457,2020,1005
18883842,2013,161
18180569,2024,96
18541998,2000,628
18849210,2006,1998
19044177,2013,1214
18270339,2009,165
19291159,2015,1620
19152387,2004,1270
19094115,2005,630
18757097,2019,1419
18872142,2019,991
19647718,2004,299
18039976,2019,1252
19626305,2018,1811
18848473,2008,2037
18305925,2016,1868
18657124,2005,279
18077341,2000,226
19080631,2012,1717
18906356,2020,1778
19232700,2013,2709
18170291,2018,4124
19972759,2020,1585
18590048,2013,2294
19593585,2013,2735
19136249,2007,1746
18016982,2007,633
19169777,2024,2068
18106867,2019,655
19038964,2017,1142
19531568,2012,496
18816956,2023,1375
19456235,2023,3150
19404634,2008,50
19365292,2022,1549
18737271,2009,50
11607611,2012,393
19419028,2007,1989
18230076,2006,977
19682570,2013,242
19923863,2005,398
18941137,2021,1472
18011910,2008,273
18981776,2020,1596
18709835,2023,1182
18307741,2010,551
19594409,2024,2866
18492696,2021,1673
19389435,2012,50
18446643,2012,1036
18603430,2021,488
19468465,2013,2166
19200328,2016,462
19411390,2014,747
18349036,2008,1247
18182708,2008,1423
18360300,2019,540
19492355,2002,761
18224345,2018,1026
19305001,2017,1009
18530062,2007,2502
19551679,2017,1162
19577749,2014,50
18853850,2010,1817
19177980,2006,2712
19682269,2020,2064
19213238,2021,50
19776649,2023,1126
18763915,2020,2108
19652620,2011,773
19252831,2003,1776
19770758,2003,1543
18154431,2011,233
19946151,2010,873
19002246,2007,50
19635672,2003,398
19392487,2009,849
19094007,2011,148
19940971,2000,2829
19428967,2004,50
19497418,2000,864
19533814,2016,995
19114305,2013,2125
19259804,2009,81
19996829,2007,2441
19106774,2023,1084
19633979,2023,114
18815129,2017,1406
19094872,2015,1058
18156180,2018,474
19621583,2015,1321
19838494,2002,585
18498821,2003,1176
18168935,2009,1655
18037395,2000,2201
19869709,2022,50
18962256,2023,3093
18374459,2009,50
18948524,2024,1218
19734912,2010,1523
19936827,2003,1404
19986566,2011,636
18483001,2016,853
18043886,2020,413
19980125,2004,641
19765055,2009,2132
18519294,2012,1510
19635755,2020,395
19977049,2012,1976
19138097,2004,1659
19582112,2008,1951
19191499,2019,1394
18025687,2000,717
19983463,2014,622
18618838,2014,1651
19270510,2022,1647
18096005,,1304
18951430,2004,1527
19766436,2008,2494
19119447,2002,361
18395452,2003,1796
19091931,2009,689
18206318,2015,782
19230016,2021,2010
18527261,2002,1720
18646346,2021,1804
18151241,2013,2043
18441924,2012,1416
19614779,2009,1527
19566963,2022,780
18242437,2008,1616
18596712,2015,739
18903228,2011,1287
19639179,2023,1775
18817092,2017,520
19322099,2012,2906
18458767,2009,144
18933675,2000,463
19675460,2005,1829
18275618,2020,1622
19335042,2014,1348
18975825,2013,1651
19335701,2010,1275
18108013,2017,719
19995842,2018,1438
18952401,2024,657
18554665,2007,2137
19171576,2023,1028
18621682,2009,545
19724379,2019,1008
18864669,2024,1388
18937897,2007,946
18261153,2009,284
19601027,2019,1409
19134135,2022,1494
19545850,2007,1072
19767894,2007,1100
19404883,2006,1354
19285242,2005,152
18064122,2009,50
18070631,2023,539
19768799,2017,1316
19833315,2014,1747
18780425,2015,2512
18493865,2018,1513
18391131,2002,1222
19875741,2012,1506
19333456,2017,299
19196041,2008,1156
18660611,2022,1096
18875390,2008,1424
18217258,2017,811
18489839,2006,1472
19760451,2021,2538
19628757,2018,1307
19672617,2018,1494
18169393,2014,1838
19558588,2014,901
18117724,2007,1199
18537388,2013,1288
18534814,2015,1118
19564174,2023,747
18915885,2015,1447
19326553,2017,1374
19068560,2016,2154
19377470,2009,1663
19285233,2009,2946
19922652,2013,932
18670419,2020,1875
19415589,2007,1394
18580978,2019,2795
19049143,2005,250
19494621,2003,689
18080509,2023,715
18130621,2010,50
18523353,2019,990
19733599,2014,802
19535544,2018,1492
19058879,2016,1703
19352881,2019,2951
19721649,2023,1986
19297242,2004,448
19865260,2022,466
18585140,2013,1681
19883137,2021,50
18072558,2022,2146
12206425,2010,1233
11269891,2022,505
4288329,2007,50
5556260,2024,865
7114158,2011,270
13781538,2012,1718
6165859,2018,50
6840294,2024,79
4617800,2000,297
13660337,2003,879
7755097,2004,210
9098415,2003,904
4342908,2010,50
14487639,2012,933
11334780,2021,636
9039770,2007,689
8807697,2003,969
8104379,2006,50
11226913,2012,50
50008922,2006,4314
14212865,2023,1239
4995239,2024,50
7047203,2013,1079
13551651,2021,1435
8613283,2016,980
12694964,2017,805
6778195,2016,1208
13472384,2016,1841
11603954,2015,376
14181713,2005,1457
7909084,2010,756
11296452,2000,1424
11870344,2005,50
4570607,2021,513
9246713,2007,1177
8175894,2011,50
9448599,2002,50
12457622,2021,50
6963697,2009,272
5146093,2024,605
6460166,2009,1145
9221469,2007,459
7586982,2005,1087
6002818,2003,50
3415603,2008,50
3724948,2014,259
9045847,2015,728
10139524,2022,577
7067681,2009,50
12504004,2003,722
6660214,2009,50
4664635,2007,598
10013167,2023,881
9223609,2010,70
12896746,2022,446
14016674,2005,243
5527531,2009,291
9025087,2022,1007
13995083,2003,50
7500087,2002,593
8813727,2011,257
10679821,2000,329
8482328,2013,386
6160239,2010,50
10964620,2007,288
13936985,2012,50
11999431,2009,2058
6060825,2005,449
5389350,2023,50
10752642,2013,846
10723092,2003,521
10909515,2009,725
10940200,2002,917
14635909,2022,1232
10829629,2019,382
11565952,2017,504
12701007,2006,457
13399989,2003,50
4879969,2014,50
7843348,2022,1232
9610417,2011,1284
10029428,2007,616
7021267,2021,676
6207919,2007,490
8233829,2006,2121
8911596,2017,1249
10474570,2017,614
10413686,2005,50
7170917,2024,50
12575990,2015,889
8608625,2014,144
10605649,2005,50
12825722,2012,158
9922218,2008,97
6580965,2011,1185
9422718,2015,887
4874788,2006,295
6990702,2007,1102
14030670,2018,984
6962029,2019,50
10594186,2000,1511
5008358,2010,472
13804011,2008,183
10327776,2012,616
9501608,2002,185
11044400,2016,50
4214868,2008,613
4750505,2024,1112
6275535,2017,50
6649388,2015,727
16252381,2006,648
7088714,2017,268
14596324,2014,379
7086979,2004,50
13803895,2009,1061
11618542,2006,163
12483633,2014,713
7650178,2017,458
4717262,2005,120
13214309,2007,379
9312187,2011,308
11839251,2020,1304
5071409,2002,551
5125462,2024,50
7737186,2024,474
3551865,2006,513
10427668,2018,50
8655115,2016,931
6602739,2014,153
10680368,2010,765
13584436,2002,528
4647218,2005,50
5377285,2024,50
14144132,2016,1000
3400570,2022,333
10155608,2009,138
9466441,,823
10091586,2002,50
8536501,2022,428
14584023,2017,50
11081025,2015,198
8619508,2009,571
13218951,2018,458
3880265,2016,56
7132408,2008,803
13216820,2024,602
5536568,2024,721
11744595,2012,237
6444842,2019,537
12432623,2005,1439
6853034,2012,50
4298892,2012,50
5650448,2022,571
7787711,2022,394
9533033,2004,652
5668848,2015,77
6460822,2010,456
9250546,2019,450
14168689,2010,1685
6787686,2016,504
8008024,2024,590
9112889,2012,271
13905687,2003,484
12152640,2013,267
11211508,2012,960
13662020,2019,728
5770283,2002,433
12025354,2024,1731
12169717,2009,1452
9728955,2017,328
3927978,2017,627
3885699,2003,55
6172322,2018,50
5288214,2009,50
8074680,2000,50
6959401,2003,233
6994386,2009,328
4968186,2008,934
10243731,2008,870
9074680,2009,467
13245872,2023,1122
4455296,2021,50
7033149,2009,559
7406866,2007,880
12186386,2007,50
6157280,2024,878
10213745,2016,671
10727810,2009,342
3761456,2018,390
3986032,2020,1123
11864408,2007,774
4742175,2023,428
12628328,,578
6858934,2012,105
9980409,2023,959
14109238,2014,144
11449232,2005,920
5869925,2017,189
9770630,2010,951
6767711,2012,433
3789443,2004,586
12010425,2011,528
6098911,2012,153
12199127,2015,188
3658711,2019,50
6397257,2002,434
12179868,2004,1057
3700443,2006,50
7700372,2008,761
13921077,2009,1756
12143745,2016,857
14599345,2013,1974
14057041,2013,556
13171011,2014,50
12836637,2004,50
13139727,2003,1807
3437442,2000,484
4025671,2015,146
8009402,2006,596
5978331,2012,50
9023577,2017,1714
4301196,2022,341
5416513,2006,454
8840257,2005,1030
11448380,2008,862
3726916,2015,263
5347393,2022,76
10057773,2007,836
5705351,2003,1068
14460609,2019,1842
8049658,2022,1181
9253083,2015,214
14272185,2013,421
8736494,2003,353
12765419,2013,599
6661285,2003,826
11602874,2009,50
4722722,2017,818
4571883,2020,201
6231651,2022,211
8645258,2021,122
12181550,2016,50
8512562,2024,1008
14194511,2010,764
11208920,2017,50
11383121,2018,50
6210970,2019,137
4046825,2022,896
7916363,2022,267
3827911,2017,50
13766528,2021,603
6239999,2008,284
4791114,2024,50
8756384,2018,396
10557192,2018,320
7393921,2007,754
3667631,2016,884
4544461,2004,663
9241142,2004,267
6849402,2022,50
14391068,2008,2665
7025461,2009,497
6314345,2007,460
8644968,,352
10078069,2011,876
6518850,2004,285
13311333,2016,682
3851510,2009,50
4447348,2011,243
11868291,2004,335
10976154,2007,205
8756326,2024,682
6170435,2011,308
6300108,2022,1137
11858524,2009,50
4910517,2018,718
13322945,2024,1369
4395605,2023,50
14084392,2010,655
10259669,2021,488
8777013,2002,50
9375493,2000,176
7890495,2009,65
12178947,2005,1609
4067978,2009,561
5120859,2021,753
10039850,2014,1088
12670789,2006,50
12781514,2008,259
3830806,2000,563
7154450,2023,50
11262007,2021,1037
13849770,2012,454
7907338,2017,421
13383965,2006,1460
4781107,2008,419
7045123,2016,312
7178549,2023,976
11605246,2005,50
5053369,2010,503
6148994,2017,617
11032617,2010,456
11396081,2009,781
12497594,2016,217
11946161,2015,1243
10948816,2016,614
6200069,2009,72
8434175,2013,1026
14663122,2005,328
14317487,2005,50
13230998,2018,50
6674745,2019,729
8834504,2008,50
11222962,2001,1734
13112526,2004,50
13961251,2007,1972
6846910,2015,415
7847482,2024,702
8752332,2003,127
11237133,2014,1047
7187081,2001,413
4542183,2010,678
11158328,2014,554
9603279,2012,910
14263182,2024,832
4016432,2022,145
7233580,2015,564
10833941,2022,50
6868509,2006,50
9281027,2013,910
9242087,2009,665
6970833,2002,321
4166234,2010,201
9641625,2006,590
13119731,2021,510
4971248,2009,53
3619685,2007,232
3980731,2013,50
12529661,2020,935
9354004,2006,50
3938367,2015,583
8556123,2018,859
6369726,2016,388
10158449,2013,1292
7943709,2022,1284
4946719,2018,724
6457985,2006,50
7919958,2013,50
12732813,2021,237
10480609,2011,471
3444159,2011,374
6205001,2024,130
13324263,2007,1037
4086921,2008,50
5701216,2013,94
14489868,2017,50
13274821,2017,394
6043595,2017,50
7096119,2008,50
13635463,2010,2174
7849352,2010,146
4553594,2006,1355
4232352,2007,457
5529590,2009,377
10745259,2007,218
12374161,2006,1189
7721479,2010,158
10595962,2007,627
7831551,2010,1654
6003483,2006,329
13730848,2001,1507
5180091,2007,50
14580979,2002,991
10737951,2007,1626
9037722,2002,83
13581084,2019,1876
9851899,2013,1097
11429201,2018,471
7285017,2007,678
8948396,2009,1163
3677239,2011,388
8541805,2013,50
6944869,2019,50
12493726,2008,382
6366698,2014,329
6223518,2016,606
6535366,2019,474
7833459,2003,50
8525074,2001,799
5405176,2006,551
5406869,2018,536
6082155,2021,748
14343015,2011,1162
4177002,2013,439
11576596,2004,472
11876905,2024,50
10187626,2009,853
3523427,2019,242
6856689,2020,538
6445425,2011,50
10959530,2006,50
14591721,2023,1716
6388547,2021,352
5854475,2007,561
8923594,2022,618
4038267,2017,202
10778951,2008,1253
4290717,2011,50
12520937,2003,787
10325586,2009,499
4248923,2007,112
11192473,2003,309
4644776,2022,326
12196967,2024,614
3514638,2005,897
11310896,2011,192
10035261,2007,583
5093470,2014,143
11031980,2007,1568
6429534,2012,518
3397648,2017,591
12862669,2022,50
16665719,2021,1278
12762137,2014,1255
3541120,2024,231
5011288,2017,761
11843888,2010,572
16319940,2017,1821
10840261,2008,1854
8983240,2021,491
10091512,2014,395
6231185,2018,927
6794113,2017,1149
13390042,2016,718
7096093,2020,311
4299740,2007,179
9481424,2022,50
11803480,2018,338
10074461,2016,78
12267382,2019,456
5755192,2004,290
10394103,2005,585
14472988,2023,1855
7278036,2009,50
4831130,2020,711
11841275,2007,781
12267463,2019,791
8674928,2018,971
13830301,2023,103
3667740,2006,388
6993131,2018,575
8840322,2009,1252
8148053,2016,627
10375654,2007,1991
6811009,2010,166
12504280,2019,324
4915040,2004,93
6989813,2006,275
13162617,2013,385
13427425,2007,1637
11856534,2003,1631
11290489,2003,421
13862159,2018,333
3861112,2020,451
8815476,2020,234
4752809,2014,455
6199895,2017,530
4634875,2020,50
4409541,2005,910
4938065,2016,946
4861237,2003,50
12097622,2024,688
5154069,2009,355
4470603,2009,440
8188769,2013,900
9630333,2005,1693
11078875,2015,418
14248937,2013,433
5668464,2011,50
9346469,2007,158
8017614,2010,436
10993266,2023,1631
9869180,2013,169
6597972,2021,582
7194177,2023,514
12304504,2007,1657
13061543,2018,3518
8692214,2015,496
8541557,2013,177
10339441,2004,1242
6350974,2006,707
9077846,2008,1606
6657902,2019,732
12993259,2023,767
5586996,2016,648
11446004,2003,1465
10471391,2004,907
8700447,2002,878
6207109,2016,852
9671570,2005,1146
10581805,2015,1217
10767393,,1069
9970069,2018,446
9759769,2021,967
11459982,2009,1445
12240673,2009,436
4853169,2023,487
14430577,2010,589
6124036,2016,350
4113746,2020,687
11583121,2018,750
4695651,2006,229
10084433,2007,50
7872044,2023,844
12860906,2021,988
10613213,2021,1758
13259416,2007,630
12955400,2002,925
12165484,2005,672
11116491,2024,1726
14378730,2009,686
3852025,2016,392
14208493,2007,1024
14463638,2003,1031
7543174,2019,142
8717542,2007,473
14167181,2023,1472
14121485,2008,259
3396358,2023,198
3442785,2016,50
11564210,2001,1339
14602075,2007,50
12809218,2004,435
6512040,2015,456
11088371,2014,1356
14238737,2003,824
11074604,2017,253
14331050,2001,1856
8993489,2013,50
3926299,2015,50
11258975,2005,1012
8123894,2017,333
7153778,2004,78
7451762,2024,897
3464786,2003,320
13099296,2010,494
5370674,2005,50
9221336,2019,890
7536712,2023,801
14426956,2006,1061
10672040,2013,1635
10005809,2013,111
11060574,2016,50
14395922,2012,386
7216040,2013,384
14239724,2012,1013
11204197,2017,482
3791323,2009,383
3495831,2006,50
9025457,2015,1391
13810220,2013,642
7330490,2008,1054
7186579,2009,543
7987730,2007,639
14038358,2005,1318
16209035,2009,1169
6085784,2018,539
12856405,2020,1514
5545700,2022,452
12948638,2001,1125
7496055,2003,438
7740176,2010,1184
8072778,2013,223
11765314,2013,1908
13833062,2011,772
6947451,2013,50
9251861,2010,557
11391528,2007,270
7384994,2019,884
12140247,2018,134
7970649,2002,208
8651027,2007,50
12568240,2019,562
7790508,2003,50
10421185,2013,50
3462183,2007,510
13987501,2006,1428
13229725,2019,1026
12634449,2016,401
7941139,2023,469
12646912,2011,621
8664310,2016,50
12576830,2021,1737
3720581,2014,594
6153517,2002,198
3685860,2015,170
13811148,2005,1150
13688482,2013,50
13672838,2022,557
4292054,2017,50
13609114,2018,273
11172138,2004,443
11532069,2007,1869
7389084,2014,632
6058805,2018,50
13772698,2011,1552
4229553,2020,750
5578268,2004,638
10813711,2016,511
5395444,2008,99
6270130,2000,599
12974624,2016,1804
14420845,2019,1373
4012356,2020,496
13509117,2013,1327
10836595,2024,253
5855634,2001,919
11231712,2006,808
3947406,2001,1045
10078832,2012,329
12650281,2004,1873
7421412,2013,519
4217779,2015,54
26154916,2002,1241
11534014,2024,712
8195064,2016,786
13903649,2023,936
29188381,2011,990
12296205,,755
1405432,2000,749
5021257,2008,999
6911564,2002,677
24655579,2005,1329
21126241,2007,1130
25232212,2012,1680
18950034,2013,417
5868432,2008,276
7947943,2004,50
29454228,2011,2312
11835152,2010,892
14571155,2013,353
21681691,2011,2769
23502590,2019,235
21423583,2004,223
8072849,2024,684
18646930,2012,2147
16950555,2022,2010
26463254,2009,1150
22615057,2012,2475
12235629,2004,832
13092744,2016,815
13558543,2023,1229
13360538,2005,1055
14629125,2009,50
7871892,2008,1238
9587128,2013,1227
9090706,2024,97
8741145,2022,786
10364481,2001,811
5837344,2015,386
11674822,2019,353
6892438,2024,61
17969348,2014,1124
13147319,2002,1437
6954699,2023,539
11361678,2000,307
13040666,2014,1153
10736685,2023,50
2290579,2010,480
17932463,2022,50
16940730,2018,531
10681341,2001,50
9270747,2019,50
11130882,2000,1142
23931577,2015,1180
6922431,2008,558
8278925,2023,568
29943342,2012,1870
12880521,2023,654
13520500,2023,50
6354610,2024,871
17322645,2002,568
10819791,2006,50
13137168,2016,434
11512296,2012,1369
16304826,2016,1827
8909403,2007,372
7915374,2006,386
14125344,2024,725
12057219,2013,1938
12646442,2021,1193
13035837,2008,1110
28439534,2007,2394
15479397,2000,1043
11662499,2023,605
21122564,2010,1330
11357007,2015,715
7928485,2014,502
17543586,2020,1359
4008162,2008,231
8768191,2008,744
13190923,2011,847
24160429,2016,1925
18946041,2018,50
5390845,2002,616
17288803,2002,1274
11964872,2009,1449
20336557,2021,50
16057208,2007,2132
6709108,2018,448
8756432,2018,1176
8731795,2021,50
28566169,2013,2779
24759154,2022,497
6003174,2006,60
13591209,2007,1986
11185229,2004,697
16943882,2005,1271
11048661,2021,970
8099702,2024,853
17270955,2008,928
11540062,2002,1001
2298481,2020,940
11184790,2022,512
6365048,2011,390
10092160,2016,1296
9057582,2013,1073
27657545,2014,2990
1249768,2018,261
20147351,2022,479
10910606,2018,1548
15344048,2021,50
22384367,2023,1496
23661780,2007,1074
14451733,2023,810
23713367,2016,1475
7558665,2010,716
11463817,2018,1048
10828862,2004,1364
13536722,2021,1337
10010855,2002,803
3836711,2022,536
20107417,2005,1958
6571905,2010,50
5549857,2021,630
4383070,2001,487
11459495,2012,418
8408971,2021,1115
27684606,2009,1625
10886010,2015,593
18331832,2004,714
7119314,2018,475
13382071,2000,263
21076209,2024,103
13004833,2023,1683
9097990,2021,91
9346009,2006,50
4673926,2017,50
6127228,2005,145
6049970,2004,50
10784402,2000,1503
20774965,2001,2099
7750427,2008,167
12845387,2006,2112
14027738,2004,1620
1499255,2024,50
11559270,2022,50
22864066,2022,3639
10901533,2004,50
14631050,2020,50
12613113,2002,1573
5150845,2013,1250
20806312,2005,2195
2956546,2011,406
5175684,2005,595
16118302,2012,2688
6929717,2006,646
22431495,2005,1696
29571536,2021,1514
12984639,2004,743
29517029,2015,642
6432724,2021,172
29485918,2002,50
28188016,2015,1740
23564787,,437
11012166,2021,50
9697771,2018,611
14736407,2023,1615
27341925,2000,2983
27977270,2000,50
19237180,2020,287
20960931,2019,2283
8238166,2006,58
11322259,2014,637
16934645,2017,1491
16556246,2010,588
15496228,2001,839
15342920,2005,305
15259567,2017,701
16633905,2004,1278
15078921,2007,50
15725980,2008,1328
15186294,2011,658
17469945,2001,1272
17489176,2010,1506
16580348,2018,1970
16470856,2002,1006
15914547,2013,816
15792361,2017,1047
15186301,2021,1006
15077367,2006,1067
15697622,2000,1103
17171121,2013,326
16590123,2014,810
15530956,2017,50
17916042,2000,2332
17029818,2007,50
17181405,2014,605
15448799,2013,379
17797314,2023,1629
17401926,2019,1042
15716019,2005,1510
15557752,2011,651
15215762,2013,1139
16599493,2015,1055
17479939,2007,3958
15741689,2021,50
16114945,2008,1373
17068804,2022,1714
17619133,2006,1578
15166267,2022,705
15395486,2013,905
16557881,2006,1021
17733490,2008,1880
17621735,2019,2046
17723986,2024,4448
15830714,2016,783
15326450,2018,237
17395365,2016,806
15117594,2018,2792
17456155,2015,604
17344130,2020,2509
16864796,2020,2241
15321462,2012,324
16899156,2004,1478
17844602,2016,2383
17834689,2019,617
17427040,2021,836
17004991,2004,672
15449337,2019,180
17153213,2016,493
15638041,2020,50
17126257,2012,1328
14759762,2010,519
15778349,2010,823
16796958,2017,78
16669304,2013,1379
15727632,2013,1231
16228061,2007,50
15643357,,1253
15017789,2001,1685
16714005,2004,326
15814529,2018,2043
15447636,2004,1016
16566569,2001,791
15633774,2013,757
15332730,2024,1414
17958721,2013,906
16096688,2006,1238
15237515,2008,274
17627968,2012,988
16343788,2000,50
15833217,2010,681
15999848,2011,380
17539225,2022,629
17930503,2014,1701
17824247,2012,2108
15763979,2019,1181
16735388,2013,75
15010692,2010,782
15573108,2016,1734
16606396,2007,1098
16571485,2022,2392
17977943,2017,1570
16959384,2013,1228
15594108,2013,525
16784718,2023,1028
16283080,2013,1576
16351392,2009,1514
15765068,2002,1373
15048194,2004,318
16913983,2020,50
17663607,2012,50
17755239,2019,1659
17791064,2021,227
15913051,2004,50
16937521,2001,1542
15074635,2015,2591
15840195,2006,987
15403325,2008,1354
16664454,2001,1125
16627734,2001,1457
17250741,2017,1631
15338988,2022,1001
16253366,2012,1386
15047455,2005,1252
16690240,2013,559
16471289,2023,1658
15859166,2001,655
17668071,2005,392
17845424,2012,1643
16246888,2000,331
17809698,2020,1339
17951038,2023,846
16628693,2000,1765
15396202,2001,1324
17586577,2016,1052
15064617,2013,1656
16864955,2019,2293
15773938,2008,1108
15696289,2019,741
16724581,2022,50
16702659,2011,368
17187820,2004,738
16096722,2024,686
15706258,2020,765
17228131,2005,1157
16646719,2005,1534
16496249,2016,972
16516943,2014,1356
17482596,2018,839
17584513,2017,50
17435948,2022,403
17725863,2019,939
16951880,2011,411
16375302,2008,1641
17816480,2018,2396
16795753,2006,1792
15005875,2014,879
16452865,2004,1963
17087435,2001,969
16642667,2016,672
15377023,2010,278
17903571,2009,748
17450107,2020,747
15867082,2018,1331
16039806,2014,967
16742302,2006,1253
17404935,2008,1191
17167025,2013,1690
16101636,2008,1630
15930236,2021,50
16506114,2000,50
17763024,2006,1571
15113870,2015,50
17753755,2002,797
17147596,2001,331
17316002,2000,50
15463580,2024,1103
16794567,2013,1784
15597742,2019,434
17997991,2018,50
17636574,2000,845
16323094,2013,1526
15890522,2014,50
16606268,2009,1197
15591667,2000,835
17125039,2023,1553
16023632,2021,1025
15306444,2012,239
17923129,2011,2185
15208698,2017,563
16315019,2001,1188
15931907,2012,525
15321869,2014,630
15826426,2006,346
15076336,2018,717
16328746,2001,2457
16279462,2000,50
17810158,2013,50
17930182,2001,2274
17011669,2017,1143
17289322,2014,737
17577365,2004,1902
15178978,2019,302
16586256,2013,2196
17544850,2020,1317
17281667,2021,930
15923408,2023,2570
15711763,2010,682
16757064,2021,1622
15328539,2012,1125
15950881,2010,1645
17965205,2024,2116
17719412,2020,1279
16638774,2021,610
15048017,2013,1023
17907370,2013,714
17699435,2020,2651
15030523,2011,971
15801141,2009,495
17451324,2016,1067
15142480,2001,50
15726303,2019,403
16667370,2022,1611
16330657,2010,723
15435711,2001,374
15758952,2001,1133
15905543,2019,1889
16182721,2012,1566
17836877,2019,1961
17430195,2024,309
17447340,2024,50
16354505,2012,1867
15262844,2020,630
15584017,2016,934
15187353,2023,1923
15243839,2014,1520
15849602,2021,1010
15574486,2013,2117
17866165,2020,735
16069756,2000,1474
17564139,2015,994
15737277,2015,1155
16508239,2021,1820
15738210,2010,1371
15850112,2020,1219
16874223,2018,1853
15508612,2015,875
17676921,2006,246
15985957,2014,497
17489225,2019,50
16335248,2009,2654
15248188,2017,50
15985864,2016,1299
15884002,2017,712
15258725,2006,1272
15877739,2008,1570
15535537,2013,1508
16766935,2000,850
16195611,2016,788
10211077,2000,659
17209490,2010,926
17823149,2017,2325
17724014,2012,1385
16459268,2023,1493
17130211,2012,1787
16444196,2017,1942
17305000,2019,1384
16133501,2017,50
17185100,2005,1615
16803371,2012,691
15221823,2005,793
16752477,2007,1301
17664162,2017,2116
16731636,2000,1151
16491490,2011,1085
16395602,2000,2196
17578171,2011,1959
15330970,2013,2643
15880963,2004,1527
17783607,2011,50
17668157,2020,1834
16950024,,1476
17508058,2005,1977
17886342,2015,1493
16232636,2001,1604
16241848,2022,128
17447446,2002,740
15942796,2014,384
17600465,2017,412
16741097,2010,1536
16130156,2005,2020
16103216,2016,1100
17972315,2004,503
15604146,2009,1393
15409334,2010,1885
15859048,2021,611
16950476,2007,1133
15557462,2002,1091
16791845,2022,519
16799855,,1747
17636364,2005,778
16593945,2000,1557
17478172,2022,351
17152789,2014,739
15570821,2023,1210
16304897,2021,747
16068215,2016,2213
15758211,2007,961
15050780,2001,1311
17759706,2024,2047
16968479,2014,50
15895756,2015,50
15315674,2016,50
16636236,2021,2095
17900614,2020,491
15939762,2004,2705
15990143,2005,846
15961661,2005,1344
