status_legalitas,omset,laba
Terdaftar,19863594,2379297.26076104
Belum Terdaftar,18029697,1919379.9479303625
Belum Terdaftar,18740254,-1804656.4636332984
Terdaftar,18791614,6337706.111282289
Terdaftar,18606164,7802171.058004882
Belum Terdaftar,19938496,6587785.993496289
Terdaftar,19422620,3919558.3242872804
Belum Terdaftar,19679457,5849090.704323784
Belum Terdaftar,18883842,-88878.8366771859
Belum Terdaftar,18180569,5544212.283866959
Belum Terdaftar,18541998,3117113.740843435
Terdaftar,18849210,4813714.569601705
Belum Terdaftar,19044177,6935986.460610206
Terdaftar,18270339,3993947.4642902296
Terdaftar,19291159,6505679.243194247
Belum Terdaftar,19152387,4444529.649288826
Belum Terdaftar,19094115,4154897.279626351
Terdaftar,18757097,5967993.699248221
Terdaftar,18872142,5301737.062816751
Terdaftar,19647718,5646608.201565502
Belum Terdaftar,18039976,5451899.494519761
Terdaftar,19626305,3480622.481623141
Terdaftar,18848473,4887672.374882088
Terdaftar,18305925,1780850.4575341959
Belum Terdaftar,18657124,4211040.223805605
Terdaftar,18077341,5517108.78166045
Belum Terdaftar,19080631,3251752.4274902856
Terdaftar,18906356,-1788706.9461551865
Belum Terdaftar,19232700,-347192.18220047053
Belum Terdaftar,18170291,1858606.4137370498
Terdaftar,19972759,3191582.3411711226
Terdaftar,18590048,4943225.754222199
Belum Terdaftar,19593585,-1945869.057520116
Terdaftar,19136249,5200111.345022778
Belum Terdaftar,18016982,3911561.2312463904
Terdaftar,19169777,5924756.625244848
Belum Terdaftar,18106867,2500832.0331414943
Terdaftar,19038964,4967989.283094817
Belum Terdaftar,19531568,3527386.7256644256
Terdaftar,18816956,5593388.860624768
Belum Terdaftar,19456235,5149516.065641707
Terdaftar,19404634,3628008.282515563
Belum Terdaftar,19365292,3438702.2266935613
Terdaftar,18737271,5090122.129621324
Belum Terdaftar,11607611,3645284.9601136856
Terdaftar,19419028,5531614.091611366
Terdaftar,18230076,4648183.841149708
Terdaftar,19682570,6345527.754438764
Terdaftar,19923863,2086632.1056606956
Belum Terdaftar,18941137,4616022.949518082
Belum Terdaftar,18011910,4602352.640187116
Terdaftar,18981776,6150736.119151743
Belum Terdaftar,18709835,5210901.19972521
Terdaftar,18307741,6237509.181893827
Belum Terdaftar,19594409,5097226.365324055
Belum Terdaftar,18492696,-3256586.6617687154
Belum Terdaftar,19389435,5927897.973195633
Belum Terdaftar,18446643,3798258.9630523724
Terdaftar,18603430,8022817.585329771
Terdaftar,19468465,5372414.96620381
Belum Terdaftar,19200328,3120871.9513529716
Belum Terdaftar,19411390,5788100.1404051045
Terdaftar,18349036,4701626.2192809405
Belum Terdaftar,18182708,2301474.5412150016
Belum Terdaftar,18360300,5499976.161298069
Belum Terdaftar,19492355,-3869675.334388769
Terdaftar,18224345,7410887.587377563
Belum Terdaftar,19305001,4025405.5410534185
Terdaftar,18530062,5665262.437045516
Belum Terdaftar,19551679,5598312.134344712
Belum Terdaftar,19577749,2135066.896716865
Terdaftar,18853850,4614268.067522632
Belum Terdaftar,19177980,5079975.118745545
Terdaftar,19682269,5115434.105113803
Terdaftar,19213238,6205880.322164202
Terdaftar,19776649,6103004.91898021
Terdaftar,18763915,5916856.543675723
Belum Terdaftar,19652620,3617002.544220672
Terdaftar,19252831,4263677.479252545
Belum Terdaftar,19770758,6687954.402853427
Terdaftar,18154431,5699612.309431712
Belum Terdaftar,19946151,5429393.940683178
Terdaftar,19002246,6853843.498454845
Belum Terdaftar,19635672,913702.0201581912
Terdaftar,19392487,6047389.155567796
Belum Terdaftar,19094007,4409925.807970058
Terdaftar,19940971,6481205.7009644145
Belum Terdaftar,19428967,6103150.277613841
Belum Terdaftar,19497418,2538915.6196891917
Terdaftar,19533814,6887338.98824286
Terdaftar,19114305,4526516.677575603
Belum Terdaftar,19259804,7412804.051160348
Belum Terdaftar,19996829,6900813.387940284
Terdaftar,19106774,5661398.220348026
Belum Terdaftar,19633979,5741464.112182607
Terdaftar,18815129,6125149.915248594
Terdaftar,19094872,7249312.832063779
Belum Terdaftar,18156180,-1511590.284059572
Terdaftar,19621583,6030505.801979226
Terdaftar,19838494,5969666.677625871
Belum Terdaftar,18498821,7331670.412701473
Belum Terdaftar,18168935,2103185.9616699712
Belum Terdaftar,18037395,3188984.3958781604
Terdaftar,19869709,-1615103.0638484878
Belum Terdaftar,18962256,5835687.633612864
Belum Terdaftar,18374459,6649396.560045523
Belum Terdaftar,18948524,2361802.803546998
Belum Terdaftar,19734912,-3975822.5977151142
Belum Terdaftar,19936827,7465482.138440228
Terdaftar,19986566,5319630.084236454
Terdaftar,18483001,5393601.260230293
Terdaftar,18043886,5669851.030891478
Belum Terdaftar,19980125,-1369614.7427859327
Belum Terdaftar,19765055,560848.608016627
Terdaftar,18519294,5668424.881825641
Belum Terdaftar,19635755,3654349.971446815
Terdaftar,19977049,1342436.121372423
Belum Terdaftar,19138097,7282886.294832253
Belum Terdaftar,19582112,5018548.727999088
Belum Terdaftar,19191499,4303315.586715122
Belum Terdaftar,18025687,6081954.408424765
Terdaftar,19983463,7511386.365799197
Belum Terdaftar,18618838,3137503.0067001553
Belum Terdaftar,19270510,5646780.46585353
Terdaftar,18096005,6095344.0319826305
Belum Terdaftar,18951430,5689593.571354404
Terdaftar,19766436,5002216.507715631
Terdaftar,19119447,5928632.892506269
Belum Terdaftar,18395452,6977796.594188691
Belum Terdaftar,19091931,5520222.531305995
Belum Terdaftar,18206318,5591342.042547444
Belum Terdaftar,19230016,3171397.6846394846
Terdaftar,18527261,3204978.004985014
Terdaftar,18646346,5614493.977234679
Terdaftar,18151241,5747164.2306528725
Belum Terdaftar,18441924,5020083.809119098
Belum Terdaftar,19614779,3388269.5732069258
Terdaftar,19566963,4989482.44021835
Terdaftar,18242437,6236918.716135563
Belum Terdaftar,18596712,2597692.7883229163
Belum Terdaftar,18903228,4583552.124883627
Terdaftar,19639179,4547407.695169449
Belum Terdaftar,18817092,5877010.716621132
Terdaftar,19322099,5133467.32419071
Terdaftar,18458767,4955363.037491223
Terdaftar,18933675,5218126.902028716
Belum Terdaftar,19675460,6608704.94985543
Belum Terdaftar,18275618,4857339.723132566
Terdaftar,19335042,5702481.528720211
Terdaftar,18975825,5611676.758991975
Terdaftar,19335701,3057592.381707505
Belum Terdaftar,18108013,715760.5929822349
Terdaftar,19995842,7174978.306758529
Terdaftar,18952401,4401348.324490801
Terdaftar,18554665,5586426.83980403
Belum Terdaftar,19171576,3942435.1228474025
Belum Terdaftar,18621682,5027026.680719073
Terdaftar,19724379,5691138.412319239
Terdaftar,18864669,2710459.905830936
Terdaftar,18937897,4881626.211889468
Terdaftar,18261153,3991056.106792571
Belum Terdaftar,19601027,3534340.899632866
Terdaftar,19134135,5598166.951555709
Terdaftar,19545850,5432753.894167061
Belum Terdaftar,19767894,5254430.535196173
Belum Terdaftar,19404883,7144013.362831661
Terdaftar,19285242,4926134.413204689
Terdaftar,18064122,6836070.6821388025
Belum Terdaftar,18070631,3993948.412069819
Terdaftar,19768799,3979739.233210619
Belum Terdaftar,19833315,2606676.7512641735
Terdaftar,18780425,5234431.009164009
Belum Terdaftar,18493865,-2135796.601434174
Terdaftar,18391131,4072698.0469315853
Terdaftar,19875741,1178556.6787237278
Belum Terdaftar,19333456,7819236.052711264
Terdaftar,19196041,6661490.442699248
Belum Terdaftar,18660611,5921815.772512977
Terdaftar,18875390,5641284.6183689125
Belum Terdaftar,18217258,5088991.660277262
Terdaftar,18489839,7695190.90195764
Belum Terdaftar,19760451,3399114.701645703
Terdaftar,19628757,3888640.5396897085
Terdaftar,19672617,3803597.636728798
Terdaftar,18169393,6772698.892159801
Terdaftar,19558588,4017812.3986133817
Terdaftar,18117724,5618559.110458719
Terdaftar,18537388,3770565.4070432866
Belum Terdaftar,18534814,4807255.287211534
Belum Terdaftar,19564174,5573771.386099217
Terdaftar,18915885,5882603.88336407
Belum Terdaftar,19326553,5399373.86108624
Belum Terdaftar,19068560,-811998.7681314165
Terdaftar,19377470,4498760.976482125
Terdaftar,19285233,6993893.185947232
Terdaftar,19922652,3223962.89964331
Terdaftar,18670419,6213282.506955552
Terdaftar,19415589,4925802.8891226705
Belum Terdaftar,18580978,2620469.914599375
Belum Terdaftar,19049143,699331.239742088
Belum Terdaftar,19494621,-414374.0506558046
Terdaftar,18080509,4911916.533289996
Belum Terdaftar,18130621,6560942.157295909
Belum Terdaftar,18523353,3155835.1873639626
Terdaftar,19733599,8656039.859383488
Terdaftar,19535544,6429432.895339449
Terdaftar,19058879,5087777.462427285
Belum Terdaftar,19352881,4328417.825106877
Terdaftar,19721649,3996053.123322217
Belum Terdaftar,19297242,1092478.8325246566
Belum Terdaftar,19865260,5384240.631956921
Belum Terdaftar,18585140,5828725.695699299
Terdaftar,19883137,4535674.220328854
Belum Terdaftar,18072558,-1695883.8372632435
Belum Terdaftar,12206425,5215282.199055894
Belum Terdaftar,11269891,1030358.3420222006
Belum Terdaftar,4288329,619114.6456398718
Belum Terdaftar,5556260,1673134.6494090229
Belum Terdaftar,7114158,2236941.3132454357
Terdaftar,13781538,3311868.0822852612
Belum Terdaftar,6165859,1491922.6728234198
Belum Terdaftar,6840294,1878273.349530629
Belum Terdaftar,4617800,1005571.0233787908
Belum Terdaftar,13660337,4834328.545165126
Terdaftar,7755097,1343425.9528558508
Belum Terdaftar,9098415,1718933.8968414054
Belum Terdaftar,4342908,1048497.9829734379
Belum Terdaftar,14487639,5083128.824105179
Belum Terdaftar,11334780,1782653.3764514823
Belum Terdaftar,9039770,2068780.5898773447
Belum Terdaftar,8807697,2276560.0126008857
Belum Terdaftar,8104379,2100503.1804777277
Belum Terdaftar,11226913,3669949.973019894
Terdaftar,50008922,13842665.73139005
Belum Terdaftar,14212865,2135372.8376717106
Belum Terdaftar,4995239,1730090.4720464614
Terdaftar,7047203,3429208.959524201
Terdaftar,13551651,3495865.2234536223
Belum Terdaftar,8613283,1709185.3130874038
Belum Terdaftar,12694964,-483619.870689044
Terdaftar,6778195,2460442.1838620994
Belum Terdaftar,13472384,1320899.1225400784
Belum Terdaftar,11603954,3591521.6331593757
Belum Terdaftar,14181713,5362337.1824168
Belum Terdaftar,7909084,1216050.3315714207
Belum Terdaftar,11296452,2059530.4966749183
Belum Terdaftar,11870344,-1548270.2705093694
Belum Terdaftar,4570607,-433207.3992283811
Terdaftar,9246713,3369337.187892664
Belum Terdaftar,8175894,166241.90035663173
Belum Terdaftar,9448599,1847769.1868849848
Belum Terdaftar,12457622,3942218.023539146
Belum Terdaftar,6963697,2505768.1605485934
Belum Terdaftar,5146093,443160.7987852562
Belum Terdaftar,6460166,1985594.9110509513
Belum Terdaftar,9221469,2329292.71287484
Belum Terdaftar,7586982,267562.5374910367
Belum Terdaftar,6002818,1153405.691901731
Belum Terdaftar,3415603,2991191.4004979236
Belum Terdaftar,3724948,1617564.5998419074
Belum Terdaftar,9045847,4799570.904519932
Belum Terdaftar,10139524,2191376.6033223798
Terdaftar,7067681,1274034.8174022892
Belum Terdaftar,12504004,712791.1049755977
Belum Terdaftar,6660214,1188497.3979104278
Belum Terdaftar,4664635,1977031.8437020183
Belum Terdaftar,10013167,537418.6405348063
Belum Terdaftar,9223609,4686364.000144459
Belum Terdaftar,12896746,-696517.9317782768
Belum Terdaftar,14016674,-1344328.1243498232
Belum Terdaftar,5527531,1317028.078976579
Belum Terdaftar,9025087,-1556715.6496264762
Belum Terdaftar,13995083,3763322.4628903675
Belum Terdaftar,7500087,2700796.517186266
Belum Terdaftar,8813727,-936212.1974146928
Belum Terdaftar,10679821,-1696765.7437274086
Terdaftar,8482328,2225635.4802153
Belum Terdaftar,6160239,-1221656.8869990679
Belum Terdaftar,10964620,2401423.0633983784
Belum Terdaftar,13936985,5208979.391433409
Belum Terdaftar,11999431,-58461.9580704649
Belum Terdaftar,6060825,3435606.1974450545
Belum Terdaftar,5389350,1273810.774397768
Belum Terdaftar,10752642,2453283.99360784
Belum Terdaftar,10723092,2892237.114109793
Belum Terdaftar,10909515,-808992.7110521807
Belum Terdaftar,10940200,2056566.5242146663
Belum Terdaftar,14635909,2911495.827781752
Belum Terdaftar,10829629,3233428.519591748
Terdaftar,11565952,1753288.0228561342
Belum Terdaftar,12701007,2176220.495066341
Belum Terdaftar,13399989,3108826.6399751552
Belum Terdaftar,4879969,2688629.4312151754
Belum Terdaftar,7843348,1308059.7390433853
Belum Terdaftar,9610417,3728531.6567820553
Belum Terdaftar,10029428,3544685.3424886377
Belum Terdaftar,7021267,983592.5455488928
Belum Terdaftar,6207919,1275417.4900237154
Belum Terdaftar,8233829,3471257.142832876
Belum Terdaftar,8911596,1897996.1513155864
Belum Terdaftar,10474570,-269837.58087877836
Belum Terdaftar,10413686,747914.617777163
Belum Terdaftar,7170917,1297325.7612864731
Belum Terdaftar,12575990,3726635.056030028
Belum Terdaftar,8608625,1799720.9897025088
Belum Terdaftar,10605649,1639212.767974203
Belum Terdaftar,12825722,-155520.584167368
Belum Terdaftar,9922218,2131927.991208824
Terdaftar,6580965,-164872.78188222973
Belum Terdaftar,9422718,1887762.2562980293
Belum Terdaftar,4874788,-752440.9044190819
Belum Terdaftar,6990702,2686058.4214276965
Belum Terdaftar,14030670,552045.0804180392
Belum Terdaftar,6962029,89125.12086798402
Terdaftar,10594186,5328566.59333121
Terdaftar,5008358,497802.5392932041
Belum Terdaftar,13804011,2042074.4015893326
Belum Terdaftar,10327776,2376636.345984557
Belum Terdaftar,9501608,1726493.633641153
Belum Terdaftar,11044400,-823372.4065343628
Belum Terdaftar,4214868,1212012.7003508809
Belum Terdaftar,4750505,405338.07391339995
Belum Terdaftar,6275535,2552528.537904822
Belum Terdaftar,6649388,-364172.5705997362
Belum Terdaftar,16252381,1884811.3088378403
Belum Terdaftar,7088714,1209975.5066364526
Terdaftar,14596324,4267542.797614489
Belum Terdaftar,7086979,1915938.095809125
Belum Terdaftar,13803895,3190993.037930205
Belum Terdaftar,11618542,2983105.581205611
Belum Terdaftar,12483633,6007658.708335318
Belum Terdaftar,7650178,738075.3514375545
Belum Terdaftar,4717262,917502.4703326632
Belum Terdaftar,13214309,4523954.270324368
Belum Terdaftar,9312187,1586134.5215758805
Belum Terdaftar,11839251,-642233.7127903323
Belum Terdaftar,5071409,802879.9932209597
Belum Terdaftar,5125462,3369758.207577301
Belum Terdaftar,7737186,1226545.732838155
Belum Terdaftar,3551865,-644450.5710526517
Belum Terdaftar,10427668,2539608.700530726
Belum Terdaftar,8655115,2082734.7472919652
Belum Terdaftar,6602739,2720921.9648434776
Belum Terdaftar,10680368,-1027444.931624516
Terdaftar,13584436,1923456.8877710435
Belum Terdaftar,4647218,-163686.58958674414
Belum Terdaftar,5377285,1597497.533243062
Belum Terdaftar,14144132,3654345.039955973
Belum Terdaftar,3400570,-1015547.3038765814
Belum Terdaftar,10155608,2646859.716404532
Belum Terdaftar,9466441,725169.0884215186
Belum Terdaftar,10091586,2399377.9649202162
Belum Terdaftar,8536501,3247725.7890476645
Belum Terdaftar,14584023,3204508.781628661
Belum Terdaftar,11081025,1298607.405449579
Belum Terdaftar,8619508,-2127985.4233880104
Belum Terdaftar,13218951,-2773306.971685217
Belum Terdaftar,3880265,-490536.0594271235
Belum Terdaftar,7132408,2980770.2256741445
Belum Terdaftar,13216820,2018413.986913792
Belum Terdaftar,5536568,-842827.9581694867
Belum Terdaftar,11744595,4553406.114569126
Belum Terdaftar,6444842,3752529.790195805
Belum Terdaftar,12432623,4197361.812482157
Terdaftar,6853034,2303144.0952322
Belum Terdaftar,4298892,-2784507.892562477
Belum Terdaftar,5650448,480111.3340167133
Belum Terdaftar,7787711,-677641.760287223
Belum Terdaftar,9533033,2623929.801133054
Belum Terdaftar,5668848,1210710.3790260374
Belum Terdaftar,6460822,-2095219.6036035544
Belum Terdaftar,9250546,1281393.8421317178
Terdaftar,14168689,4794260.828280607
Belum Terdaftar,6787686,2672633.111404251
Belum Terdaftar,8008024,-2394387.979184971
Belum Terdaftar,9112889,1863703.5422200975
Belum Terdaftar,13905687,37619.091822960414
Belum Terdaftar,12152640,3352225.163409114
Belum Terdaftar,11211508,1241024.034169991
Belum Terdaftar,13662020,1112043.1175173745
Belum Terdaftar,5770283,1847400.1514369037
Belum Terdaftar,12025354,334353.755234902
Belum Terdaftar,12169717,312544.25603948795
Belum Terdaftar,9728955,1555583.4194184062
Belum Terdaftar,3927978,720663.4091483201
Belum Terdaftar,3885699,-911393.1780454032
Belum Terdaftar,6172322,1766739.5881229248
Belum Terdaftar,5288214,703840.8777868758
Belum Terdaftar,8074680,3106167.0121413902
Belum Terdaftar,6959401,1067851.5812323112
Belum Terdaftar,6994386,219651.54098267367
Belum Terdaftar,4968186,2054272.3593865042
Belum Terdaftar,10243731,1262351.8793923813
Belum Terdaftar,9074680,526785.8100142113
Belum Terdaftar,13245872,1581779.7104438595
Belum Terdaftar,4455296,869623.4053814099
Belum Terdaftar,7033149,1658641.4885627176
Belum Terdaftar,7406866,818871.3469860908
Belum Terdaftar,12186386,4125847.5568641303
Belum Terdaftar,6157280,-1437374.9940859769
Belum Terdaftar,10213745,-2503339.5011022957
Belum Terdaftar,10727810,1286890.7109037784
Belum Terdaftar,3761456,-526.4651331652422
Terdaftar,3986032,3588821.894766786
Belum Terdaftar,11864408,1528401.628078171
Belum Terdaftar,4742175,1142711.061783582
Belum Terdaftar,12628328,3606837.4728141953
Terdaftar,6858934,1810287.260052564
Belum Terdaftar,9980409,4161318.6833590944
Belum Terdaftar,14109238,-2685082.4845423643
Belum Terdaftar,11449232,1410332.340885745
Belum Terdaftar,5869925,728610.0964553505
Belum Terdaftar,9770630,4871345.631835062
Belum Terdaftar,6767711,2772601.8075783034
Belum Terdaftar,3789443,2020114.623599826
Belum Terdaftar,12010425,-961482.9817462986
Belum Terdaftar,6098911,2887809.412567422
Belum Terdaftar,12199127,3347160.6746053095
Terdaftar,3658711,1207648.1239328494
Belum Terdaftar,6397257,3372560.7389264507
Belum Terdaftar,12179868,-206379.97723068448
Belum Terdaftar,3700443,1313380.6313054003
Belum Terdaftar,7700372,2748116.858518727
Belum Terdaftar,13921077,1143443.5427463518
Belum Terdaftar,12143745,3192339.0069065345
Terdaftar,14599345,6466067.600808081
Terdaftar,14057041,2922180.4146597395
Terdaftar,13171011,5410188.68863247
Terdaftar,12836637,5066056.705591639
Belum Terdaftar,13139727,5842806.889603685
Belum Terdaftar,3437442,-556994.4987078203
Belum Terdaftar,4025671,84085.91953369102
Belum Terdaftar,8009402,2920693.1126841353
Belum Terdaftar,5978331,-83539.85463030892
Belum Terdaftar,9023577,-1534559.9472417631
Belum Terdaftar,4301196,802051.0132885083
Belum Terdaftar,5416513,61968.63112915012
Terdaftar,8840257,4244302.173648775
Belum Terdaftar,11448380,3249248.085069642
Belum Terdaftar,3726916,131147.05976356321
Belum Terdaftar,5347393,1915607.837696427
Belum Terdaftar,10057773,3486928.3832944008
Belum Terdaftar,5705351,471797.41960945877
Belum Terdaftar,14460609,4160196.492048655
Belum Terdaftar,8049658,459811.2860818503
Belum Terdaftar,9253083,1858308.9108936677
Belum Terdaftar,14272185,2814412.7545570694
Belum Terdaftar,8736494,1836494.6227446445
Belum Terdaftar,12765419,3240120.5037306654
Belum Terdaftar,6661285,1845966.6928918771
Belum Terdaftar,11602874,2350745.567631051
Terdaftar,4722722,1191468.4662869922
Belum Terdaftar,4571883,1412697.9036808868
Belum Terdaftar,6231651,-2252729.0655155513
Belum Terdaftar,8645258,2694340.2229015986
Belum Terdaftar,12181550,2009474.2211382464
Belum Terdaftar,8512562,601234.0613331716
Belum Terdaftar,14194511,2683631.3033874286
Belum Terdaftar,11208920,2034324.2084871326
Belum Terdaftar,11383121,3580551.425096722
Belum Terdaftar,6210970,3237426.8241501097
Belum Terdaftar,4046825,456056.45374586945
Belum Terdaftar,7916363,742159.5562940664
