id_umkm,nama_usaha,jenis_usaha,tenaga_kerja_perempuan,tenaga_kerja_laki_laki,aset,omset,marketplace,kapasitas_produksi,status_legalitas,tahun_berdiri,laba,biaya_karyawan,jumlah_pelanggan
28828589,UD. Olivia Kusumasari,Makanan & Minuman,1,1,6824868.291,8571607,Shopee,548,Belum Terdaftar,2020,1620143,369000000,669
28828590,UD. Dea Tunggul Ziva,Makanan & Minuman,1,0,15701328.53,8275679,Website Sendiri,50,Belum Terdaftar,2014,2910380,318000000,841
28828591,UD. Iqra Panji,Makanan & Minuman,2,1,8804341.384,8497878,Tokopedia,312,Belum Terdaftar,2002,799287,321000000,633
28828592,UD. Tono Surapati,Makanan & Minuman,2,3,9478930.491,9373593,Website Sendiri,728,Belum Terdaftar,2009,3016935,114000000,285
28828593,UD. Qisha Kusumah,Makanan & Minuman,0,1,13280928.37,9832997,Shopee,71,Terdaftar,2013,2029316,204000000,104
28828594,UD. Tari Jayeng,Makanan & Minuman,1,0,10981889.72,8357279,Shopee,574,Belum Terdaftar,2016,3906589,96000000,173
28828595,UD. Uli Widhi,Makanan & Minuman,1,2,7975918.519,9359668,Bukalapak,291,Belum Terdaftar,2016,258767,198000000,327
28828596,UD. Clarissa Cahaya,Makanan & Minuman,1,1,12254334.32,8163353,Tokopedia,223,Belum Terdaftar,2005,1908717,309000000,545
28828597,UD. Nisa Hastinapura,Makanan & Minuman,0,1,12551850.55,9790419,Lazada,338,Belum Terdaftar,2012,2976042,375000000,991
28828598,UD. Chiko Suryaatmaja,Makanan & Minuman,1,0,3090591.263,9050652,Tokopedia,1438,Belum Terdaftar,2006,2225729,471000000,914
28828599,UD. Damar Panji,Makanan & Minuman,2,2,9399245.053,8933377,Lazada,408,Belum Terdaftar,2008,1511736,438000000,195
28828600,UD. Qayla Sukarela,Makanan & Minuman,2,3,16403357.14,9543682,Tokopedia,146,Belum Terdaftar,2015,3596453,150000000,58
28828601,UD. Kinan Buana,Makanan & Minuman,0,1,9500058.299,8453220,Website Sendiri,941,Belum Terdaftar,2004,929621,381000000,218
28828602,UD. Niken Lintang,Makanan & Minuman,2,3,15853057.08,9247764,Lazada,50,Belum Terdaftar,2016,2967197,363000000,235
28828603,UD. Lidya Pamungkas,Makanan & Minuman,3,3,5944200.08,8882912,Tokopedia,485,Belum Terdaftar,2000,1774178,273000000,190
28828604,UD. Farid Agastya,Makanan & Minuman,2,4,17955407.51,8135584,Bukalapak,50,Belum Terdaftar,2008,2496305,183000000,788
28828605,UD. Yumna Sentosa,Makanan & Minuman,1,0,19823244.87,8983171,Shopee,50,Belum Terdaftar,2024,2677707,342000000,399
28828606,UD. Yusuf Suryaputra,Makanan & Minuman,2,3,11800940.47,9122540,Tokopedia,675,Belum Terdaftar,2017,1295948,276000000,964
28828607,UD. Krisna Trisula,Makanan & Minuman,2,2,8957004.055,8982400,Tokopedia,1059,Belum Terdaftar,2017,1545745,141000000,956
28828608,UD. Heri Wiyata,Makanan & Minuman,1,1,10911734.44,9555581,Shopee,535,Belum Terdaftar,2012,630245,468000000,186
28828609,UD. Anang Baswara,Makanan & Minuman,1,2,10689206.09,8536416,Lazada,472,Belum Terdaftar,2008,3260375,45000000,608
28828610,UD. Gilang Galang,Makanan & Minuman,2,3,13942746.12,9792474,Lazada,532,Belum Terdaftar,2020,4096497,126000000,505
28828611,UD. Sekar Trijaya,Makanan & Minuman,3,3,15038500.57,8956429,Website Sendiri,50,Belum Terdaftar,2006,2230300,426000000,122
28828612,UD. Diyan Prawira,Makanan & Minuman,0,1,7898754.745,8462689,Website Sendiri,50,Belum Terdaftar,2004,1183721,210000000,768
28828613,UD. Fajar Darussalam Lukita,Makanan & Minuman,3,4,11103133.62,9091255,Website Sendiri,336,Belum Terdaftar,2023,2585387,264000000,130
28828614,UD. Yumna Wira,Makanan & Minuman,2,4,3306033.931,8165706,Bukalapak,1029,Belum Terdaftar,2007,1068514,312000000,952
28828615,UD. Sani Segar,Makanan & Minuman,3,2,4507164.599,8197428,Shopee,721,Belum Terdaftar,2022,448326,471000000,822
28828616,UD. Nazar Baruna,Makanan & Minuman,2,4,16458057.87,9019858,Lazada,50,Belum Terdaftar,2000,974749,360000000,58
28828617,UD. Nazar Dwijaputra Dito,Makanan & Minuman,0,1,13808131.17,8646058,,759,Belum Terdaftar,2000,1970352,375000000,177
28828618,UD. Lutfi Reswara,Makanan & Minuman,2,2,11900440.6,9909849,Website Sendiri,447,Belum Terdaftar,2023,3109079,348000000,227
28828619,UD. Ujang Wibawa,Makanan & Minuman,2,1,11410223.56,8013485,Shopee,71,Belum Terdaftar,2022,2300636,312000000,786
28828620,UD. Jafar Sanjaya,Makanan & Minuman,4,3,4220394.187,9293295,Website Sendiri,836,Belum Terdaftar,2020,1565626,276000000,785
28828621,UD. Xenia Nirbayu,Makanan & Minuman,1,1,1455936.254,9161289,Tokopedia,1161,Belum Terdaftar,2012,617928,186000000,442
28828622,UD. Jihan Gatra,Makanan & Minuman,2,2,4191018.625,9054627,Website Sendiri,1158,Belum Terdaftar,2017,1149960,255000000,189
28828623,UD. Dewi Mandiri,Makanan & Minuman,2,3,16814974.39,9449907,Shopee,50,Belum Terdaftar,2009,2154134,111000000,503
28828624,UD. Fikri Jaladara,Makanan & Minuman,0,1,10479819.24,8522115,Lazada,366,Belum Terdaftar,2008,2587784,279000000,803
28828625,UD. Lukman Wangi,Makanan & Minuman,1,2,8575386.846,8081874,Shopee,586,Belum Terdaftar,2022,3023157,174000000,765
28828626,UD. Jasmin Prajurit,Makanan & Minuman,3,2,8364766.948,9629580,Lazada,988,Terdaftar,2005,3627440,228000000,405
28828627,UD. Ony Mayang,Makanan & Minuman,2,3,8743048.997,8438597,Shopee,270,Belum Terdaftar,2020,-411336,270000000,618
28828628,UD. Gema Prana,Makanan & Minuman,2,4,14020940.23,9795857,Shopee,525,Belum Terdaftar,2024,4008306,273000000,502
28828629,UD. Celsi Cahyaningrat,Makanan & Minuman,1,0,12336468.63,8941327,Lazada,50,Belum Terdaftar,2018,2019267,456000000,329
,UD. Ucup Tirtayasa,Makanan & Minuman,1,1,19281989.04,9770806,Tokopedia,55,Belum Terdaftar,2023,2445720,348000000,720
28828631,UD. Hilmiyah Tunggul,Makanan & Minuman,1,1,8056799.183,9620557,Shopee,1651,Belum Terdaftar,2021,1716340,96000000,384
28828632,UD. Cipta Nawasena Qira,Makanan & Minuman,1,0,1000000,8912797,Shopee,1360,Belum Terdaftar,2014,850232,99000000,857
28828633,UD. Ony Nawasena,Makanan & Minuman,3,2,8345635.188,9925604,Bukalapak,441,Belum Terdaftar,2008,-516586,213000000,675
28828634,UD. Livia Wijaya,Makanan & Minuman,1,1,1837425.041,9411445,Website Sendiri,1110,Belum Terdaftar,2013,1038495,330000000,98
28828635,UD. Carissa Rejo,Makanan & Minuman,3,2,11091399.92,9456828,Bukalapak,726,Terdaftar,2008,4000331,141000000,385
28828636,UD. Qisya Berkarya Pandu,Makanan & Minuman,1,1,10872262.9,8447230,Shopee,137,Belum Terdaftar,2020,574419,438000000,556
28828637,UD. Ujang Kusumah Erlangga,Makanan & Minuman,3,2,1932339.448,8670160,Shopee,716,Belum Terdaftar,2022,372706,126000000,628
28828638,UD. Nina Sanjaya,Makanan & Minuman,0,1,5694454.229,8797166,Shopee,1380,Belum Terdaftar,2021,3014897,57000000,358
28828639,UD. Jihan Prima,Makanan & Minuman,2,3,7644711.241,8859744,Tokopedia,359,Belum Terdaftar,2009,152555,279000000,443
28828640,UD. Mira Kelana,Makanan & Minuman,2,3,1000000,8089512,Bukalapak,1369,Belum Terdaftar,2007,943048,18000000,243
28828641,UD. Jaya Ayodya,Makanan & Minuman,1,2,27511251.7,8176435,Website Sendiri,50,Belum Terdaftar,2014,2533643,unknown,869
28828642,UD. Niken Arya,Makanan & Minuman,1,2,7188115.434,9613443,Tokopedia,1088,Belum Terdaftar,2023,2991319,330000000,153
28828643,UD. Sekar Siang,Makanan & Minuman,2,2,7748497.723,8782614,Lazada,649,Belum Terdaftar,2011,-320233,267000000,604
28828644,UD. Hanafi Bagaskara,Makanan & Minuman,1,1,9612112.025,9414561,Shopee,371,Belum Terdaftar,2008,2424944,420000000,689
28828645,UD. Gema Wijaksana,Makanan & Minuman,1,2,4600505.233,8697139,Tokopedia,642,Belum Terdaftar,2010,-857496,267000000,783
28828646,UD. Eddy Wira,Makanan & Minuman,1,0,14855380.36,8180960,Lazada,50,Belum Terdaftar,2016,402025,141000000,612
28828647,UD. Marsel Gandewa,Makanan & Minuman,1,2,13780823.49,9679518,Shopee,602,Belum Terdaftar,2013,1708831,399000000,76
28828648,UD. Niken Ananta,Makanan & Minuman,1,1,7263364.76,9745282,Tokopedia,656,Terdaftar,2005,2449702,126000000,666
28828649,UD. Qyla Prana Balqis,Makanan & Minuman,1,1,4671676.52,8337772,Shopee,1155,Belum Terdaftar,2019,2523399,246000000,809
28828650,UD. Prananda Manggala,Makanan & Minuman,3,4,5154010.276,8342943,Bukalapak,259,Belum Terdaftar,2021,-1355171,336000000,417
28828651,UD. Qanita Mandiri,Makanan & Minuman,3,2,8988950.972,8889892,Shopee,67,Belum Terdaftar,2002,1348876,243000000,684
28828652,UD. Tania Madani,Makanan & Minuman,1,2,13607877.99,9886057,Website Sendiri,299,Belum Terdaftar,2024,2400972,261000000,105
28828653,UD. Wulan Sukma Fikri,Makanan & Minuman,0,1,6937606.082,8643499,Website Sendiri,966,Belum Terdaftar,2012,2340698,348000000,574
28828654,UD. Chiko Tejakencana Pandu,Makanan & Minuman,2,4,12361111.43,9098843,Shopee,825,Terdaftar,2015,4483028,147000000,901
28828655,UD. Candra Kalbu,Makanan & Minuman,2,3,14603931.39,9098927,Tokopedia,282,Belum Terdaftar,2011,3886572,132000000,920
28828656,UD. Delia Paseban,Makanan & Minuman,1,0,6093385.496,8190306,Lazada,695,Belum Terdaftar,2021,568950,222000000,942
28828657,UD. Taufan Jatiwangi,Makanan & Minuman,1,3,10142437.41,9314825,Lazada,521,Belum Terdaftar,2012,3193566,228000000,418
28828658,UD. Kamil Nirmala,Makanan & Minuman,2,4,5937811.86,9913844,Website Sendiri,1071,Belum Terdaftar,2021,2657550,339000000,606
28828659,UD. Damar Wibawa,Makanan & Minuman,0,1,17883471.27,9625649,Website Sendiri,215,Belum Terdaftar,2018,2963289,351000000,983
28828660,UD. Berlian Cempaka,Makanan & Minuman,1,1,13436341.17,9266156,Tokopedia,467,Belum Terdaftar,2020,3928861,216000000,416
28828661,UD. Riko Wening,Makanan & Minuman,1,1,10365120.43,8497866,Bukalapak,198,Belum Terdaftar,2008,2719045,336000000,64
28828662,UD. Fani Manik,Makanan & Minuman,2,3,15668919.07,8446714,Website Sendiri,50,Belum Terdaftar,2023,933308,279000000,16
28828663,UD. Xenia Paningrat Najwa,Makanan & Minuman,1,1,11248347.59,8596465,Website Sendiri,621,Belum Terdaftar,2009,1092301,147000000,270
28828664,UD. Wira Gatra,Makanan & Minuman,1,1,9743271.92,9207275,Shopee,636,Belum Terdaftar,2018,3341760,306000000,983
28828665,UD. Jay Wiyata,Makanan & Minuman,1,1,12425504.26,8546397,Bukalapak,479,Belum Terdaftar,2016,2759555,477000000,860
28828666,UD. Lono Senopati,Makanan & Minuman,2,2,4626827.327,9205341,Bukalapak,526,Belum Terdaftar,2021,567954,270000000,628
28828667,UD. Via Wijapranata Yusuf,Makanan & Minuman,0,1,16063283.05,8464645,Website Sendiri,50,Belum Terdaftar,2006,2636316,465000000,720
28828668,UD. Krisna Segar,Makanan & Minuman,2,2,10436655.97,9909421,Shopee,371,Belum Terdaftar,2024,372054,321000000,977
,UD. Pasha Atma,Makanan & Minuman,2,2,13582634.62,8014192,Tokopedia,348,Belum Terdaftar,2023,1921215,348000000,589
28828670,UD. Vidi Warna,Makanan & Minuman,5,3,16378813.55,9077897,Lazada,50,Belum Terdaftar,2016,4269768,,15
28828671,UD. Gusti Sanjaya,Makanan & Minuman,2,2,10502021.51,9768923,Website Sendiri,576,Belum Terdaftar,2013,1359096,114000000,901
28828672,UD. Pandu Adhi,Makanan & Minuman,4,3,12056468.77,9658836,Lazada,804,Belum Terdaftar,2003,4035007,291000000,878
28828673,UD. Zulkarnaen Agastya,Makanan & Minuman,1,2,8795205.705,9223494,Lazada,1494,Terdaftar,2015,4550163,309000000,915
28828674,UD. Qanitah Nusa,Makanan & Minuman,1,2,9180980.258,9645543,Lazada,774,Belum Terdaftar,2019,2968070,114000000,827
28828675,UD. Wira Kamajaya,Makanan & Minuman,3,3,14602558.98,9336706,Website Sendiri,603,Belum Terdaftar,2000,3901835,408000000,517
28828676,UD. Anisa Galuh,Makanan & Minuman,2,3,9367197.514,9168424,Tokopedia,635,Terdaftar,2005,2719186,177000000,890
28828677,UD. Iqra Abadi,Makanan & Minuman,4,3,20887976.42,9944467,Bukalapak,50,Belum Terdaftar,2016,2180248,126000000,261
28828678,UD. Ucup Jatiwangi,Makanan & Minuman,1,1,10835292.16,8579140,Shopee,531,Belum Terdaftar,2017,2982229,435000000,407
28828679,UD. Desi Tirta,Makanan & Minuman,2,2,7374348.661,8460214,Bukalapak,647,Belum Terdaftar,2017,2184273,270000000,534
28828680,UD. Lukita Panji,Makanan & Minuman,2,1,3236673.619,8098297,Shopee,1759,Belum Terdaftar,2020,2514829,378000000,633
28828681,UD. Okta Tejakencana,Makanan & Minuman,1,3,12605021.97,8408877,Bukalapak,437,Belum Terdaftar,2024,3141472,294000000,883
28828682,UD. Farhan Sukarela Qomar,Makanan & Minuman,1,1,7575998.083,8492996,Website Sendiri,731,Belum Terdaftar,2011,2250582,324000000,265
28828683,UD. Qamar Bahagia,Fashion,2,3,5760139.177,9859828,Website Sendiri,547,Belum Terdaftar,2004,36804,306000000,895
28828684,UD. Ina Sumirat,Perusahaan,1,3,14936408.22,8783534,Lazada,50,Belum Terdaftar,2016,-32529,309000000,80
28828685,UD. Lidya Cinta,Fashion,1,1,4048673.42,9144559,Shopee,982,Belum Terdaftar,2019,2047074,336000000,414
28828686,UD. Balqis Sehat,Fashion,4,6,16808785.23,19784794,Tokopedia,1485,Belum Terdaftar,2004,6800709,249000000,746
28828687,UD. Alya Sukarela,Fashion,4,6,15353936.56,18680346,Website Sendiri,1942,Belum Terdaftar,2009,2064640,294000000,404
28828688,UD. Adinda Putra,Perusahaan,3,7,31715613.64,19487517,Shopee,163,Terdaftar,2003,7317655,144000000,15
28828689,UD. Salwa Malam,Perusahaan,7,6,13207934.85,19172206,Website Sendiri,1997,Belum Terdaftar,2010,2736447,93000000,429
28828690,UD. Vega Putra,Makanan & Minuman,5,4,35373655.27,18635056,Tokopedia,271,Belum Terdaftar,2018,2503796,273000000,596
28828691,UD. Cipta Citra,Fashion,3,2,13810409.38,19579738,Shopee,1281,Belum Terdaftar,2008,5204825,213000000,576
28828692,UD. Farid Darma,Perusahaan,8,6,10016150.43,19228557,Lazada,2683,Belum Terdaftar,2000,6572554,378000000,43
28828693,UD. Qais Sari,Makanan & Minuman,4,4,32773674.17,18740929,Shopee,441,Belum Terdaftar,2021,6059455,288000000,487
28828694,UD. Pandu Mulya,Perusahaan,2,2,21541467.1,18547759,Tokopedia,758,Terdaftar,2021,-286536,204000000,722
28828695,UD. Vita Kalbu,Perusahaan,2,1,13171297.28,9024602,Lazada,678,Belum Terdaftar,2021,2398937,411000000,848
28828696,UD. Utha Mulya Tami,Perusahaan,3,3,8600805.162,8154823,Website Sendiri,244,Belum Terdaftar,2012,1640019,465000000,951
28828697,UD. Fitri Manunggal,Fashion,3,3,13306940.13,8301974,Lazada,50,Belum Terdaftar,2014,-1374368,453000000,814
28828698,UD. Rosa Nirbayu,Makanan & Minuman,1,1,9054435.474,8545101,Website Sendiri,612,Belum Terdaftar,2004,2677595,186000000,965
28828699,UD. Jodi Kinarya,Fashion,1,1,16723256.68,9763825,Tokopedia,50,Belum Terdaftar,2015,3645058,192000000,923
28828700,UD. Marsel Indah,Makanan & Minuman,1,1,10122735.02,9479241,Bukalapak,847,Belum Terdaftar,2018,909477,306000000,570
28828701,UD. Marsel Anggara,Makanan & Minuman,1,2,10239220.81,8752887,Bukalapak,189,Belum Terdaftar,2008,-1456333,189000000,102
,UD. Fikri Saprahan,Perusahaan,1,0,6116414.412,9350282,Tokopedia,1320,Belum Terdaftar,2021,3239625,309000000,350
28828703,UD. Lono Pagi,Fashion,1,0,10049901.12,8599677,Website Sendiri,90,Belum Terdaftar,2018,412178,363000000,919
28828704,UD. Gracia Wening,Perusahaan,2,2,7583274.84,9939054,Lazada,247,Belum Terdaftar,2004,1492794,393000000,793
28828705,UD. Zahira Sehat,Makanan & Minuman,2,3,4218424.173,9055611,Website Sendiri,988,Belum Terdaftar,2009,1056258,183000000,163
28828706,UD. Fahmi Paseban,Fashion,1,3,12348399.75,8694590,Bukalapak,50,Belum Terdaftar,2000,1141121,309000000,126
28828707,UD. Lutfi Prajurit Lukita,Fashion,1,1,9707517.501,9203978,Lazada,666,Belum Terdaftar,2024,3282789,378000000,232
28828708,UD. Farhan Artha,Perusahaan,0,1,7902801.099,8471762,Shopee,1238,Belum Terdaftar,2007,1772349,159000000,316
28828709,UD. Vidi Siang Pasha,Fashion,1,1,11549662.77,8008070,Bukalapak,50,Terdaftar,2023,-922487,78000000,514
28828710,UD. Eni Lempung,Perusahaan,1,3,9027698.384,8772317,Tokopedia,543,Belum Terdaftar,2022,2777502,363000000,596
28828711,UD. Rian Trisaktiatma Elyas,Fashion,2,3,4689093.108,8466785,Lazada,718,Belum Terdaftar,2011,294000,255000000,361
28828712,UD. Mega Kencana Qiana,Makanan & Minuman,2,2,8237605.52,9111915,Website Sendiri,865,Belum Terdaftar,2005,500619,117000000,867
28828713,UD. Mario Ayodya,Makanan & Minuman,1,3,13714739.67,9311148,Shopee,50,Belum Terdaftar,2009,2170614,138000000,328
28828714,UD. Oki Bima,Perusahaan,3,2,11753980.76,8480894,Bukalapak,50,Belum Terdaftar,2006,622277,270000000,938
28828715,UD. Isna Sunardi,Makanan & Minuman,1,2,10026274.54,9890766,Lazada,749,Belum Terdaftar,2002,2961737,462000000,69
28828716,UD. Rangga Gandewa,Perusahaan,2,1,5957250.478,8361074,Bukalapak,764,Belum Terdaftar,2004,-520303,402000000,686
28828717,UD. Vina Lingga,Fashion,2,1,7945021.112,9655495,Tokopedia,603,Terdaftar,2019,2580685,,916
28828718,UD. Priska Utamaindah,Makanan & Minuman,3,4,2216716.759,8921136,Bukalapak,862,Belum Terdaftar,2016,456352,150000000,669
28828719,UD. Habib Wicaksana Heri,Makanan & Minuman,2,2,14200670.89,9015917,Website Sendiri,50,Belum Terdaftar,2022,3651326,111000000,726
28828720,UD. Tasya Sejahtera,Makanan & Minuman,1,1,9641977.91,8328592,Website Sendiri,539,Belum Terdaftar,2000,3319486,504000000,427
28828721,UD. Barokah Jayengprana,Fashion,1,1,8239902.41,9249414,Tokopedia,602,Belum Terdaftar,2019,1752774,456000000,709
28828722,UD. Yani Raharja Ulil,Makanan & Minuman,2,1,8272281.649,9086049,unknown,50,Belum Terdaftar,2007,-2398357,75000000,874
28828723,UD. Vera Citra,Perusahaan,0,1,6819564.794,8006831,Shopee,1436,Terdaftar,2013,3185393,387000000,323
28828724,UD. Xenia Manunggal,Makanan & Minuman,1,1,5434509.472,8581868,Lazada,804,Belum Terdaftar,2012,1908297,486000000,692
28828725,UD. Ulya Jayeng,Makanan & Minuman,2,4,14749662.58,9862413,Bukalapak,66,Belum Terdaftar,2011,1891736,336000000,205
28828726,UD. Pandu Bijaksana,Fashion,3,3,12771700.28,9091405,Tokopedia,796,Belum Terdaftar,2024,3223367,276000000,575
28828727,UD. Agus Asmaralaya,Makanan & Minuman,2,3,11333971.67,8865877,Lazada,50,Belum Terdaftar,2024,1956127,306000000,465
28828728,UD. Halimah Agastya,Perusahaan,2,3,7992717.432,8408148,Tokopedia,933,Belum Terdaftar,2023,3264654,234000000,123
28828729,UD. Jay Kusen Umi,Makanan & Minuman,3,3,13811534.3,19720189,Tokopedia,2047,Belum Terdaftar,2004,5401227,264000000,453
28828730,UD. Qira Wiraatmaja,Perusahaan,1,2,26616074.06,18465531,Shopee,632,Belum Terdaftar,2021,5929831,354000000,788
28828731,UD. Cakra Bahagia Aldo,Fashion,2,3,13568779.52,18911419,Website Sendiri,1960,Belum Terdaftar,2009,5955426,306000000,203
28828732,UD. Ucup Pusaka,Fashion,3,5,16474252.87,18321904,Lazada,1155,Belum Terdaftar,2008,1012594,159000000,31
28828733,UD. Wesly Hastinapura,Makanan & Minuman,5,5,14976815.76,19863250,Shopee,2042,Terdaftar,2009,6230916,273000000,13
,UD. Jasmine Saputra,Makanan & Minuman,3,5,8603154.93,18649522,Website Sendiri,2696,Belum Terdaftar,2000,2097289,165000000,51
28828735,UD. Widi Saputrautama Leni,Fashion,8,7,23939062.17,18275979,Tokopedia,1022,Terdaftar,2004,6500515,69000000,482
28828736,UD. Jafar Harmoni,Makanan & Minuman,5,8,23170981.67,19567328,Shopee,352,Belum Terdaftar,2023,4557538,324000000,573
28828737,UD. Riyan Wirajaya,Perusahaan,6,7,30209831.11,19376164,Website Sendiri,322,Belum Terdaftar,2018,-4646506,231000000,565
28828738,UD. Nisa Tunggal,Makanan & Minuman,5,7,28074952.64,18774633,Website Sendiri,444,Terdaftar,2005,3580788,303000000,263
28828739,UD. Balqis Jagadmaya,Perusahaan,4,7,21538008.4,19190928,Shopee,945,Belum Terdaftar,2008,4922492,249000000,891
28828740,UD. Elva Manggala Tono,Makanan & Minuman,3,5,20144822.17,19889463,Bukalapak,1270,Terdaftar,2011,7083818,,920
28828741,UD. Celsi Jagad Esa,Fashion,1,2,17335326.27,19622728,Shopee,1614,Belum Terdaftar,2007,-802280,471000000,597
28828742,UD. Jihan Pancasila,Fashion,2,4,8471973.887,18299428,Tokopedia,1807,Belum Terdaftar,2005,961751,390000000,874
28828743,UD. Ilmi Bersemi,Fashion,3,6,19428463.05,19711443,Bukalapak,1245,Terdaftar,2017,5841140,111000000,425
28828744,UD. Krisna Padi,Fashion,4,4,8692586.859,19979295,,2146,Belum Terdaftar,2003,2809587,291000000,79
28828745,UD. Pandu Gemilang,Fashion,3,6,16450405.79,16443788,Website Sendiri,1054,Belum Terdaftar,2006,2200909,381000000,116
28828746,UD. Livia Buana,Fashion,4,7,2980399.934,18067821,Lazada,2887,Terdaftar,2024,4177927,240000000,266
28828747,UD. Obed Siang Mega,Perusahaan,3,2,14272291.48,19863594,Shopee,1898,Terdaftar,2009,2379297,264000000,495
28828748,UD. Hana Baswara,Makanan & Minuman,5,3,23911846.63,18029697,Website Sendiri,761,Belum Terdaftar,2006,1919380,360000000,625
28828749,UD. Dora Galuh,Makanan & Minuman,3,7,22817378.2,18740254,Shopee,477,Belum Terdaftar,2013,-1804656,510000000,239
28828750,UD. Mila Anugerah Zainab,Fashion,2,2,17244072.74,18791614,Tokopedia,1831,Terdaftar,2007,6337706,342000000,541
28828751,UD. Ziva Malam,Fashion,4,3,25896676.58,18606164,,1055,Terdaftar,2014,7802171,375000000,757
28828752,UD. Eni Jayeng,Perusahaan,4,5,16500629.5,19938496,Website Sendiri,1558,Belum Terdaftar,2006,6587786,153000000,123
28828753,UD. Juli Elok,Perusahaan,4,5,15565729.82,19422620,Website Sendiri,1327,Terdaftar,2020,3919558,189000000,334
28828754,UD. Echa Bahari,Makanan & Minuman,3,5,20124316.54,19679457,Bukalapak,1005,Belum Terdaftar,2020,5849091,372000000,558
28828755,UD. Lea Trisakti,Perusahaan,4,5,25444339.36,18883842,Tokopedia,161,Belum Terdaftar,2013,-88879,228000000,369
28828756,UD. Salwa Ceria,Fashion,1,2,33549584.43,18180569,Lazada,96,Belum Terdaftar,2024,5544212,450000000,188
28828757,UD. Budi Darma,Makanan & Minuman,2,4,22075357.72,18541998,Tokopedia,628,Belum Terdaftar,2000,3117114,540000000,11
28828758,UD. Jihan Karya,Fashion,4,5,11279391.84,18849210,Tokopedia,1998,Terdaftar,2006,4813715,144000000,599
28828759,UD. Damar Adikara Dani,Makanan & Minuman,3,2,21688383.74,19044177,Lazada,1214,Belum Terdaftar,2013,6935986,408000000,410
28828760,UD. Ulfa Gunawan,Perusahaan,2,4,26353510.89,18270339,Tokopedia,165,Terdaftar,2009,3993947,186000000,571
28828761,UD. Diyan Asih,Fashion,3,7,19795878.89,19291159,Shopee,1620,Terdaftar,2015,6505679,456000000,731
